experiment run details:
  dataset: hoi
  model: gemma3_4b openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8107478022575378, max_false: 0.8750841617584229, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8807836771011353, max_false: 0.8095201253890991, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8422839045524597, max_false: 0.8933590650558472, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8945758938789368, max_false: 0.8290277719497681, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8245729207992554, max_false: 0.8907040953636169, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8901988863945007, max_false: 0.8319984078407288, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8338276147842407, max_false: 0.8849227428436279, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8763450980186462, max_false: 0.8145766258239746, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8206716179847717, max_false: 0.8818907141685486, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8801185488700867, max_false: 0.8081923127174377, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8085006475448608, max_false: 0.8855252861976624, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894593358039856, max_false: 0.8198251724243164, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8022838830947876, max_false: 0.8979171514511108, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8961210250854492, max_false: 0.834020733833313, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8378368616104126, max_false: 0.8978574872016907, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.897121787071228, max_false: 0.832332193851471, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8323513269424438, max_false: 0.901121973991394, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9058904051780701, max_false: 0.827837347984314, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8305032253265381, max_false: 0.8878136277198792, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8847390413284302, max_false: 0.8113934993743896, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8193325400352478, max_false: 0.8801484107971191, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8907457590103149, max_false: 0.8230388760566711, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8307477235794067, max_false: 0.9000035524368286, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8995233178138733, max_false: 0.8296176195144653, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8191415667533875, max_false: 0.8891649842262268, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8915388584136963, max_false: 0.8069131374359131, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8347179889678955, max_false: 0.8859787583351135, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8959635496139526, max_false: 0.8196516036987305, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8381474614143372, max_false: 0.9010865688323975, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8760301470756531, max_false: 0.794922947883606, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8253242373466492, max_false: 0.8812546730041504, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8979198932647705, max_false: 0.8283882737159729, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8109931349754333, max_false: 0.8902630805969238, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.888554573059082, max_false: 0.8088480234146118, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8248940706253052, max_false: 0.8889116644859314, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8894510865211487, max_false: 0.8276033997535706, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8242540955543518, max_false: 0.9024484753608704, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9004186391830444, max_false: 0.828490138053894, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8419690132141113, max_false: 0.8918887972831726, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8786131143569946, max_false: 0.8122735619544983, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8032307624816895, max_false: 0.8782095909118652, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8908182978630066, max_false: 0.82268226146698, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8341974020004272, max_false: 0.8881919384002686, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.895969569683075, max_false: 0.8472426533699036, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8246421813964844, max_false: 0.8902447819709778, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8934482932090759, max_false: 0.8186110258102417, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8379837274551392, max_false: 0.8883247375488281, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8723461627960205, max_false: 0.8111603260040283, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8143181204795837, max_false: 0.8805423974990845, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8971339464187622, max_false: 0.8285905718803406, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8259074687957764, max_false: 0.8752527236938477, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.888929545879364, max_false: 0.84544438123703, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8321828246116638, max_false: 0.8916627764701843, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8798254132270813, max_false: 0.81601881980896, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8431826829910278, max_false: 0.8952322602272034, correct: False
