experiment run details:
  dataset: hoi
  model: gemma3_4b openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8130892515182495, max_false: 0.8596755266189575, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8763645887374878, max_false: 0.8093825578689575, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8421252369880676, max_false: 0.8891451358795166, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8837344646453857, max_false: 0.8252089619636536, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8267956972122192, max_false: 0.8912586569786072, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8821553587913513, max_false: 0.827500581741333, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8369415402412415, max_false: 0.877113938331604, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8732643127441406, max_false: 0.8204445242881775, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8282141089439392, max_false: 0.8874953389167786, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8736486434936523, max_false: 0.8115999698638916, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8310324549674988, max_false: 0.878808319568634, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8884360790252686, max_false: 0.840158224105835, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8007631897926331, max_false: 0.8894995450973511, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8927322030067444, max_false: 0.8443697094917297, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8334542512893677, max_false: 0.8916270136833191, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.895020067691803, max_false: 0.8369780778884888, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8423128128051758, max_false: 0.8991576433181763, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9034254550933838, max_false: 0.8379918336868286, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8475359082221985, max_false: 0.8861207365989685, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8749051094055176, max_false: 0.8183888792991638, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8186014294624329, max_false: 0.8718873262405396, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8755550980567932, max_false: 0.8153608441352844, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.837684154510498, max_false: 0.8935705423355103, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8854355812072754, max_false: 0.8356865644454956, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8326410055160522, max_false: 0.8893643021583557, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8804039359092712, max_false: 0.8119368553161621, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8446173667907715, max_false: 0.8864273428916931, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8985311388969421, max_false: 0.8427382707595825, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8391633033752441, max_false: 0.894530713558197, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8688802719116211, max_false: 0.8222911357879639, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.829042375087738, max_false: 0.8747883439064026, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8954718708992004, max_false: 0.8366720080375671, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8232802748680115, max_false: 0.8810468316078186, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8779109716415405, max_false: 0.8192736506462097, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8384702801704407, max_false: 0.8840780258178711, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8855810761451721, max_false: 0.8376420736312866, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8344241380691528, max_false: 0.8902526497840881, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8856940269470215, max_false: 0.828042209148407, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8393927812576294, max_false: 0.8892233371734619, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8814826607704163, max_false: 0.8271088600158691, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8101748824119568, max_false: 0.875721275806427, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8839935660362244, max_false: 0.8222987055778503, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8258442282676697, max_false: 0.8837288618087769, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8913403153419495, max_false: 0.8245136141777039, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8274043202400208, max_false: 0.8774318099021912, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8908827304840088, max_false: 0.833828866481781, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8419221043586731, max_false: 0.8785427212715149, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8639397025108337, max_false: 0.8250528573989868, correct: True
