experiment run details:
  dataset: hoi
  model: gemma3_4b openworld postfix
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8319135904312134, max_false: 0.8713458776473999, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8840256929397583, max_false: 0.8271064758300781, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8580125570297241, max_false: 0.898790180683136, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8959235548973083, max_false: 0.8404574394226074, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8448837995529175, max_false: 0.8950744867324829, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894665539264679, max_false: 0.8428153395652771, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8562732338905334, max_false: 0.8882930278778076, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8830617666244507, max_false: 0.836595356464386, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.842947781085968, max_false: 0.8939803838729858, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8775559067726135, max_false: 0.8260258436203003, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8389440774917603, max_false: 0.8809331059455872, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8948093056678772, max_false: 0.8485400080680847, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.812568724155426, max_false: 0.8958551287651062, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8977279663085938, max_false: 0.8545950055122375, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8440796136856079, max_false: 0.8957309126853943, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8962289690971375, max_false: 0.8540635704994202, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8621786236763, max_false: 0.9064447283744812, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9098057746887207, max_false: 0.8530239462852478, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8596845269203186, max_false: 0.8899434208869934, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8891200423240662, max_false: 0.837057888507843, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8327987790107727, max_false: 0.8762107491493225, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8940614461898804, max_false: 0.8403395414352417, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.854499101638794, max_false: 0.9059646129608154, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8956335783004761, max_false: 0.8474958539009094, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8457279205322266, max_false: 0.8938280940055847, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8888177275657654, max_false: 0.8284289240837097, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8584550619125366, max_false: 0.8970726132392883, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9012227058410645, max_false: 0.8499897122383118, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8502676486968994, max_false: 0.9010658860206604, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.879910409450531, max_false: 0.8314688801765442, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8426496982574463, max_false: 0.8827909231185913, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9007204174995422, max_false: 0.8485941886901855, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.84112948179245, max_false: 0.8888944387435913, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8835211396217346, max_false: 0.8342911005020142, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8526743054389954, max_false: 0.8891700506210327, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8957682251930237, max_false: 0.8486403226852417, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8490228652954102, max_false: 0.8970410823822021, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8956079483032227, max_false: 0.8479719161987305, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8538867235183716, max_false: 0.8993886709213257, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8875248432159424, max_false: 0.8399735689163208, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8290340900421143, max_false: 0.882084846496582, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8908076286315918, max_false: 0.8316903114318848, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8359718322753906, max_false: 0.8865082859992981, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.903423011302948, max_false: 0.8495655655860901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.841224193572998, max_false: 0.8842634558677673, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8987487554550171, max_false: 0.8459194302558899, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8585562109947205, max_false: 0.8895792365074158, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8686571717262268, max_false: 0.8341372013092041, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8433099985122681, max_false: 0.8829731345176697, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8973110914230347, max_false: 0.8489134907722473, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8387579321861267, max_false: 0.877204954624176, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8914528489112854, max_false: 0.8579308390617371, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8542472720146179, max_false: 0.8929045796394348, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8795685768127441, max_false: 0.8297750949859619, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8517283201217651, max_false: 0.8975527882575989, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8922089338302612, max_false: 0.8419843316078186, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8561877012252808, max_false: 0.9007550477981567, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9075313210487366, max_false: 0.8492957353591919, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8409819006919861, max_false: 0.8889947533607483, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9074118733406067, max_false: 0.851115345954895, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8271383047103882, max_false: 0.8793232440948486, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8859535455703735, max_false: 0.8324350118637085, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8441137671470642, max_false: 0.8952714800834656, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8851348757743835, max_false: 0.8327082991600037, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8154327869415283, max_false: 0.8895671963691711, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8880631327629089, max_false: 0.8308786153793335, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8537437319755554, max_false: 0.9117825031280518, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8961060047149658, max_false: 0.8431087732315063, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8475595712661743, max_false: 0.9053682684898376, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8849419951438904, max_false: 0.8265426158905029, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8547675013542175, max_false: 0.9011490345001221, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8967289924621582, max_false: 0.841656506061554, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8209052085876465, max_false: 0.8883674144744873, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8948748111724854, max_false: 0.8354895710945129, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8468701243400574, max_false: 0.8989442586898804, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8884128332138062, max_false: 0.84173983335495, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8521844148635864, max_false: 0.884670615196228, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8934494256973267, max_false: 0.8420564532279968, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8491547107696533, max_false: 0.8903900384902954, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.880894124507904, max_false: 0.8473807573318481, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8364155292510986, max_false: 0.8901055455207825, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8842263221740723, max_false: 0.8335316777229309, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8542440533638, max_false: 0.8962030410766602, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8944576382637024, max_false: 0.8424996137619019, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8461703658103943, max_false: 0.8986438512802124, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8910782337188721, max_false: 0.8362955451011658, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8538342714309692, max_false: 0.899938702583313, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.896129310131073, max_false: 0.8363619446754456, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8503753542900085, max_false: 0.8967962861061096, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8926547169685364, max_false: 0.8575997948646545, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8438776135444641, max_false: 0.9003448486328125, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9077087044715881, max_false: 0.8502069711685181, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8560627698898315, max_false: 0.8900690078735352, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8844025731086731, max_false: 0.846055269241333, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8288806676864624, max_false: 0.8715100288391113, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8825563788414001, max_false: 0.8356955647468567, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8485947847366333, max_false: 0.9009917974472046, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8947637677192688, max_false: 0.8345181941986084, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8637090921401978, max_false: 0.8939192295074463, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9052771925926208, max_false: 0.8686137199401855, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8456017971038818, max_false: 0.8949377536773682, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8904691934585571, max_false: 0.8449851274490356, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.837705135345459, max_false: 0.8879899978637695, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8775904178619385, max_false: 0.8184731006622314, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8322705030441284, max_false: 0.8796094059944153, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8872284889221191, max_false: 0.8405911922454834, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8527130484580994, max_false: 0.8981048464775085, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8941086530685425, max_false: 0.8479011654853821, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8338953256607056, max_false: 0.8954588174819946, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.89952152967453, max_false: 0.8385311961174011, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8529473543167114, max_false: 0.8989722728729248, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8917230367660522, max_false: 0.8389301300048828, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8482654690742493, max_false: 0.8999990224838257, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8887155652046204, max_false: 0.8386684060096741, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8293819427490234, max_false: 0.893674910068512, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.889828085899353, max_false: 0.8313516974449158, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8566187024116516, max_false: 0.9162954688072205, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9014614820480347, max_false: 0.8378307223320007, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8492020964622498, max_false: 0.8905297517776489, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9018042683601379, max_false: 0.8449756503105164, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8532131910324097, max_false: 0.8978256583213806, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8940684199333191, max_false: 0.847576379776001, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8464447259902954, max_false: 0.8969912528991699, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9005386829376221, max_false: 0.855150580406189, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8476657271385193, max_false: 0.9017802476882935, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.89540034532547, max_false: 0.8475075364112854, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8348077535629272, max_false: 0.8776054382324219, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8880041837692261, max_false: 0.846696674823761, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8439551591873169, max_false: 0.8915926814079285, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9121071696281433, max_false: 0.8506919145584106, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8480462431907654, max_false: 0.8838052749633789, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.881716787815094, max_false: 0.8578486442565918, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.839293360710144, max_false: 0.8927384614944458, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8859707713127136, max_false: 0.8288126587867737, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8525421023368835, max_false: 0.8930540084838867, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8943397998809814, max_false: 0.8440037369728088, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8402664065361023, max_false: 0.8817338943481445, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.905117392539978, max_false: 0.8549807667732239, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8592758178710938, max_false: 0.9021865725517273, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8781242370605469, max_false: 0.8263899683952332, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8454107642173767, max_false: 0.8958653807640076, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.897942066192627, max_false: 0.8326422572135925, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8404264450073242, max_false: 0.8941504955291748, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894006073474884, max_false: 0.8390699625015259, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8472598195075989, max_false: 0.8937268257141113, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8967993855476379, max_false: 0.8494445085525513, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8137632608413696, max_false: 0.8707149028778076, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8890379667282104, max_false: 0.8140455484390259, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8446002006530762, max_false: 0.8889720439910889, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8913217186927795, max_false: 0.8403653502464294, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8439268469810486, max_false: 0.889014482498169, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9126558303833008, max_false: 0.8572905659675598, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8712835311889648, max_false: 0.9103630185127258, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8715924620628357, max_false: 0.8400019407272339, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8499537110328674, max_false: 0.8889736533164978, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8903327584266663, max_false: 0.8372879028320312, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.860426127910614, max_false: 0.8914953470230103, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8899227976799011, max_false: 0.8508949875831604, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8450374007225037, max_false: 0.8951964974403381, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.895499587059021, max_false: 0.8428323864936829, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8465884327888489, max_false: 0.8969581723213196, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894226610660553, max_false: 0.8556243777275085, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8406320214271545, max_false: 0.8932076692581177, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8949899673461914, max_false: 0.8384916186332703, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8338086605072021, max_false: 0.8910677433013916, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.895475447177887, max_false: 0.837311327457428, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8380046486854553, max_false: 0.8740577697753906, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8818072080612183, max_false: 0.8339564800262451, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8540944457054138, max_false: 0.9027572870254517, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.884322464466095, max_false: 0.8290577530860901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8576233983039856, max_false: 0.8950758576393127, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9104449152946472, max_false: 0.8650879859924316, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.853853166103363, max_false: 0.9035428166389465, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8919737935066223, max_false: 0.8418107628822327, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8482280373573303, max_false: 0.8950060606002808, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8910761475563049, max_false: 0.838145911693573, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8487153053283691, max_false: 0.885853111743927, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8895595669746399, max_false: 0.8346268534660339, correct: True
