experiment run details:
  dataset: hoi
  model: gemma3_4b openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8498746752738953, max_false: 0.8608415126800537, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8740947246551514, max_false: 0.8439353704452515, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8803312182426453, max_false: 0.887069046497345, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8867143988609314, max_false: 0.8646069765090942, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8572579026222229, max_false: 0.8871300220489502, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8752617835998535, max_false: 0.847580075263977, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8719645738601685, max_false: 0.8775144815444946, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8629065752029419, max_false: 0.8497589230537415, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8634591698646545, max_false: 0.8873658776283264, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8758893013000488, max_false: 0.8453566431999207, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.839613676071167, max_false: 0.8688690066337585, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8856796622276306, max_false: 0.8506805896759033, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8344001770019531, max_false: 0.8951062560081482, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8880722522735596, max_false: 0.8671585917472839, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8583285808563232, max_false: 0.8895507454872131, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8883715271949768, max_false: 0.8599748611450195, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8789700269699097, max_false: 0.8905033469200134, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8976675271987915, max_false: 0.8623833656311035, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8687419891357422, max_false: 0.8816280364990234, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8692679405212402, max_false: 0.8404465317726135, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.845841646194458, max_false: 0.8690122365951538, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8773516416549683, max_false: 0.8595903515815735, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8676635026931763, max_false: 0.8853654861450195, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9041342735290527, max_false: 0.8719789981842041, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8440490365028381, max_false: 0.8774980306625366, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8759258985519409, max_false: 0.8329649567604065, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8859875798225403, max_false: 0.8839152455329895, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.88925701379776, max_false: 0.8630443811416626, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8713660836219788, max_false: 0.8944358229637146, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8566640019416809, max_false: 0.8261074423789978, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8632110953330994, max_false: 0.8705042004585266, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8948074579238892, max_false: 0.8613899946212769, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.860445499420166, max_false: 0.8826806545257568, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8722386360168457, max_false: 0.8459022045135498, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8659335970878601, max_false: 0.8829852342605591, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8840345740318298, max_false: 0.8608445525169373, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8639964461326599, max_false: 0.8920191526412964, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8905625343322754, max_false: 0.8660805225372314, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.880879819393158, max_false: 0.8875834345817566, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8711229562759399, max_false: 0.8488102555274963, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8441627621650696, max_false: 0.8698020577430725, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.879577100276947, max_false: 0.8515563011169434, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8595425486564636, max_false: 0.876575231552124, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8908380270004272, max_false: 0.8719626665115356, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8554993271827698, max_false: 0.881561815738678, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8885936737060547, max_false: 0.8590089082717896, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8847395181655884, max_false: 0.8909426927566528, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8638225793838501, max_false: 0.8542954325675964, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8544439673423767, max_false: 0.8773137331008911, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8862863779067993, max_false: 0.8626383543014526, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8595845103263855, max_false: 0.8633733987808228, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8753873705863953, max_false: 0.8718997836112976, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8711481094360352, max_false: 0.8808544278144836, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8642907738685608, max_false: 0.857573926448822, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8645439147949219, max_false: 0.8786970973014832, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8729224801063538, max_false: 0.8536261320114136, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8737002611160278, max_false: 0.8890841603279114, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8879231214523315, max_false: 0.8514675498008728, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8473212718963623, max_false: 0.8687127828598022, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8885905742645264, max_false: 0.8595938086509705, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.841071367263794, max_false: 0.8696346879005432, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8686304688453674, max_false: 0.8467316627502441, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8682073354721069, max_false: 0.8909002542495728, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8810927271842957, max_false: 0.8536372184753418, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8415568470954895, max_false: 0.8818750381469727, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8768661022186279, max_false: 0.8486272096633911, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8639414310455322, max_false: 0.8948191404342651, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8829752206802368, max_false: 0.8494865894317627, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8619102835655212, max_false: 0.8953285813331604, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8701210618019104, max_false: 0.8365318179130554, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8682077527046204, max_false: 0.8907721638679504, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8851988315582275, max_false: 0.8611736297607422, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8346999287605286, max_false: 0.8701931834220886, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8800843358039856, max_false: 0.8501331210136414, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8812025189399719, max_false: 0.8978123068809509, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8851215243339539, max_false: 0.8657159805297852, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.863062858581543, max_false: 0.8797754049301147, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8837004899978638, max_false: 0.8570891618728638, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8589327931404114, max_false: 0.872454822063446, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8613570928573608, max_false: 0.8497222065925598, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8653579354286194, max_false: 0.884949803352356, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8579387664794922, max_false: 0.843246579170227, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.872235894203186, max_false: 0.8877391219139099, correct: False
