experiment run details:
  dataset: hoi
  model: gemma3_4b openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.35804277658462524, max_false: 0.1720079630613327, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7967804074287415, max_false: 0.14974363148212433, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7392639517784119, max_false: 0.00967828743159771, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.46783897280693054, max_false: 0.48508772253990173, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4439760446548462, max_false: 0.02542939782142639, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8115444779396057, max_false: 0.37762004137039185, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7565580606460571, max_false: 0.12090060859918594, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7481737732887268, max_false: 0.2726743519306183, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5207555294036865, max_false: 0.5589499473571777, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.577480137348175, max_false: 0.31320425868034363, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.12871386110782623, max_false: 0.7229174971580505, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8149756789207458, max_false: 0.058653052896261215, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.28922152519226074, max_false: 0.689414381980896, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5035957098007202, max_false: 0.4655112326145172, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5799794793128967, max_false: 0.19108308851718903, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.1095089241862297, max_false: 0.7047572731971741, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7947268486022949, max_false: 0.006347343325614929, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8379778265953064, max_false: 0.2220679521560669, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7084683775901794, max_false: -0.047042518854141235, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.2139798104763031, max_false: 0.4610448181629181, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.18686427175998688, max_false: 0.7742676138877869, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.15618714690208435, max_false: 0.27717623114585876, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.46703848242759705, max_false: 0.6319940686225891, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.17308741807937622, max_false: 0.3393996059894562, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5777865648269653, max_false: 0.45895373821258545, correct: True
