experiment run details:
  dataset: openworld
  model: gemma3_4b hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8117407560348511, max_false: 0.8914756178855896, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8898425102233887, max_false: 0.797437310218811, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.809203028678894, max_false: 0.882000207901001, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.880599856376648, max_false: 0.7690134048461914, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8264552354812622, max_false: 0.885939359664917, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9040929675102234, max_false: 0.8336879014968872, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8264039754867554, max_false: 0.8796721696853638, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8698530793190002, max_false: 0.8172876238822937, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8396337628364563, max_false: 0.8941367268562317, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8952690362930298, max_false: 0.8422893285751343, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8382759690284729, max_false: 0.880862832069397, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8940215110778809, max_false: 0.836399257183075, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8360127210617065, max_false: 0.8962379693984985, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8827850222587585, max_false: 0.8131893277168274, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8503795862197876, max_false: 0.898265540599823, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8998857736587524, max_false: 0.8328978419303894, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8316595554351807, max_false: 0.8993915319442749, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8963794708251953, max_false: 0.8242085576057434, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8437861204147339, max_false: 0.9008920192718506, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8800640106201172, max_false: 0.8026641011238098, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8136149644851685, max_false: 0.8844906687736511, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.889872133731842, max_false: 0.8209713697433472, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8463447690010071, max_false: 0.9023578763008118, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8713934421539307, max_false: 0.8017324805259705, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8312139511108398, max_false: 0.9034507870674133, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8237743973731995, max_false: 0.75640869140625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8426634669303894, max_false: 0.892661988735199, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8880627155303955, max_false: 0.8265674710273743, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8391858339309692, max_false: 0.8916046023368835, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8949744701385498, max_false: 0.8186279535293579, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8012955784797668, max_false: 0.8957565426826477, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8850343227386475, max_false: 0.8220981955528259, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8410761952400208, max_false: 0.8856619596481323, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8700075149536133, max_false: 0.793700098991394, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8128493428230286, max_false: 0.8891956210136414, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8789518475532532, max_false: 0.7901627421379089, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8050262928009033, max_false: 0.8858813047409058, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8743950724601746, max_false: 0.7851055264472961, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8433377742767334, max_false: 0.8920882344245911, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8768328428268433, max_false: 0.8274549245834351, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8393675088882446, max_false: 0.8975598216056824, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8810911178588867, max_false: 0.809195876121521, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.847344160079956, max_false: 0.899029552936554, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8891711235046387, max_false: 0.8285053968429565, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8396541476249695, max_false: 0.8874081969261169, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8745585680007935, max_false: 0.7762005925178528, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8434910774230957, max_false: 0.8782585859298706, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8887299299240112, max_false: 0.8240432143211365, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8392863273620605, max_false: 0.8886198997497559, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.882192850112915, max_false: 0.8181147575378418, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8343666195869446, max_false: 0.8977927565574646, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8688997626304626, max_false: 0.8019973635673523, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8278854489326477, max_false: 0.8912489414215088, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8742339015007019, max_false: 0.8096590042114258, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8537155985832214, max_false: 0.8937095999717712, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8710637092590332, max_false: 0.7964717149734497, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8289666175842285, max_false: 0.8912282586097717, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8870776891708374, max_false: 0.8055658340454102, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8390265107154846, max_false: 0.8900073170661926, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8802205920219421, max_false: 0.7988190650939941, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8295644521713257, max_false: 0.8932589888572693, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8872466683387756, max_false: 0.8131006956100464, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.830868661403656, max_false: 0.8976904153823853, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8786082863807678, max_false: 0.7922820448875427, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8404908776283264, max_false: 0.8966854810714722, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9008457064628601, max_false: 0.8392292261123657, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8466400504112244, max_false: 0.9075677990913391, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9067304730415344, max_false: 0.8333362936973572, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8540327548980713, max_false: 0.8983387351036072, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8796114921569824, max_false: 0.8365201950073242, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8220990300178528, max_false: 0.8796277642250061, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.900084376335144, max_false: 0.8151562809944153, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.82547527551651, max_false: 0.8905056715011597, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.880104124546051, max_false: 0.8148587346076965, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8406488299369812, max_false: 0.8977193832397461, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8955678343772888, max_false: 0.843338668346405, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8314595818519592, max_false: 0.8967469334602356, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8973608016967773, max_false: 0.8255047798156738, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8285611867904663, max_false: 0.8790912628173828, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8957800269126892, max_false: 0.8052416443824768, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8287904858589172, max_false: 0.8858356475830078, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8893309831619263, max_false: 0.8122466802597046, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8482496738433838, max_false: 0.9032291769981384, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8861803412437439, max_false: 0.816131591796875, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8251875042915344, max_false: 0.8664255142211914, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8861411213874817, max_false: 0.8294664025306702, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8232886791229248, max_false: 0.8851729035377502, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8875214457511902, max_false: 0.7808753848075867, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.845593273639679, max_false: 0.8938235640525818, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8801107406616211, max_false: 0.803686797618866, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7772294878959656, max_false: 0.8472796082496643, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8169347047805786, max_false: 0.7713083028793335, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8441005945205688, max_false: 0.8848246335983276, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8785657286643982, max_false: 0.8123278021812439, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8420934081077576, max_false: 0.9004798531532288, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8911001086235046, max_false: 0.8341209292411804, correct: True
