experiment run details:
  dataset: openworld
  model: gemma3_4b hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8242784738540649, max_false: 0.8826109170913696, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8743523359298706, max_false: 0.7947316765785217, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8074242472648621, max_false: 0.8759145140647888, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8849435448646545, max_false: 0.8083392381668091, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8285363912582397, max_false: 0.8784433007240295, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.903935968875885, max_false: 0.8535858392715454, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8393794894218445, max_false: 0.8800308704376221, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8814213275909424, max_false: 0.8368110656738281, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8527824282646179, max_false: 0.8981562256813049, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8949853777885437, max_false: 0.8454782366752625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8270712494850159, max_false: 0.867695689201355, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8787132501602173, max_false: 0.8335669040679932, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8421217799186707, max_false: 0.8918660283088684, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8813799619674683, max_false: 0.8348991870880127, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8532930612564087, max_false: 0.8889596462249756, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8867888450622559, max_false: 0.8249824047088623, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8465011715888977, max_false: 0.8944473266601562, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8874348998069763, max_false: 0.8487871289253235, correct: True
