experiment run details:
  dataset: openworld
  model: gemma3_4b hoi postfix
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8369309902191162, max_false: 0.896523118019104, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8835800290107727, max_false: 0.80069500207901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8183645606040955, max_false: 0.8828232288360596, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.889164388179779, max_false: 0.8172212243080139, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8386691808700562, max_false: 0.8833968639373779, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9006289839744568, max_false: 0.8519109487533569, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.843260645866394, max_false: 0.8880638480186462, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8776792287826538, max_false: 0.8300080895423889, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8575734496116638, max_false: 0.8981776237487793, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.902302622795105, max_false: 0.8559954166412354, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8322938680648804, max_false: 0.8645995855331421, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8847692012786865, max_false: 0.8419396877288818, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8511814475059509, max_false: 0.8934293985366821, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8774046301841736, max_false: 0.8354499340057373, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8498548865318298, max_false: 0.8914589285850525, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8895028829574585, max_false: 0.8340747356414795, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.852977991104126, max_false: 0.8956093788146973, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8921433091163635, max_false: 0.8490044474601746, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8554528951644897, max_false: 0.9023547768592834, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.884110689163208, max_false: 0.8099560737609863, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8364999890327454, max_false: 0.8763293623924255, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.89146888256073, max_false: 0.8307357430458069, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8541386723518372, max_false: 0.8959177732467651, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8726438283920288, max_false: 0.813850998878479, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8469181656837463, max_false: 0.9021286964416504, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8304151296615601, max_false: 0.7839794754981995, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8560229539871216, max_false: 0.8924775719642639, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8790664672851562, max_false: 0.8300331830978394, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8501313924789429, max_false: 0.8959180116653442, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8874518871307373, max_false: 0.8399401307106018, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8422790765762329, max_false: 0.9032498598098755, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8891173005104065, max_false: 0.8362008929252625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8384000062942505, max_false: 0.8702613115310669, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.877000093460083, max_false: 0.8173227310180664, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.830227255821228, max_false: 0.8941681385040283, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8783137202262878, max_false: 0.8091084957122803, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8300934433937073, max_false: 0.8903101086616516, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8822641968727112, max_false: 0.8225491642951965, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8463906049728394, max_false: 0.8909274339675903, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8687112927436829, max_false: 0.8293134570121765, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8593777418136597, max_false: 0.8958455324172974, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8815428018569946, max_false: 0.8272908329963684, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8554658889770508, max_false: 0.8973586559295654, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8868423700332642, max_false: 0.8440153002738953, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8465723991394043, max_false: 0.887709379196167, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8732064366340637, max_false: 0.7879295349121094, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8460724353790283, max_false: 0.8650866746902466, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8771439790725708, max_false: 0.8319414854049683, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8444729447364807, max_false: 0.8792397379875183, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8671408891677856, max_false: 0.8192974328994751, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.842250645160675, max_false: 0.8929909467697144, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8645652532577515, max_false: 0.8003920912742615, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8312610387802124, max_false: 0.8898482322692871, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8772464990615845, max_false: 0.8226721286773682, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8550354838371277, max_false: 0.8805623054504395, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8750512599945068, max_false: 0.8054682016372681, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8543297648429871, max_false: 0.8923888206481934, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8787209391593933, max_false: 0.8342902660369873, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8454163074493408, max_false: 0.8763724565505981, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8792092800140381, max_false: 0.8302515745162964, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8576934337615967, max_false: 0.8859289884567261, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8801707029342651, max_false: 0.8319540023803711, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8405919075012207, max_false: 0.8976079821586609, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.866396427154541, max_false: 0.8085658550262451, correct: True
