experiment run details:
  dataset: openworld
  model: gemma3_4b hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8276574015617371, max_false: 0.8907345533370972, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8848568797111511, max_false: 0.7946177124977112, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8153375387191772, max_false: 0.8790220618247986, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8783258199691772, max_false: 0.8000442981719971, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8487439155578613, max_false: 0.8819612264633179, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8967278599739075, max_false: 0.8552133440971375, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8425347805023193, max_false: 0.8777987957000732, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.863938570022583, max_false: 0.8256718516349792, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8559486269950867, max_false: 0.8892604112625122, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8938328623771667, max_false: 0.8558266758918762, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8474332690238953, max_false: 0.872408390045166, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8843507170677185, max_false: 0.8480510711669922, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8510884046554565, max_false: 0.889660656452179, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8757327198982239, max_false: 0.836762547492981, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8535279631614685, max_false: 0.8949026465415955, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8902729749679565, max_false: 0.8375670909881592, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8454186916351318, max_false: 0.8912073373794556, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8796198964118958, max_false: 0.8351740837097168, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8555535078048706, max_false: 0.8972516059875488, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8788862824440002, max_false: 0.8154916763305664, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8288851380348206, max_false: 0.874819815158844, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8812443614006042, max_false: 0.8313494920730591, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8529574871063232, max_false: 0.8906081318855286, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8679339289665222, max_false: 0.8105080723762512, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8419178128242493, max_false: 0.9023447036743164, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8200147151947021, max_false: 0.7740429043769836, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8502769470214844, max_false: 0.8971498608589172, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8813619017601013, max_false: 0.8362681269645691, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8594695925712585, max_false: 0.8921990394592285, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8878279328346252, max_false: 0.8380900025367737, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.841582715511322, max_false: 0.899468719959259, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8823933005332947, max_false: 0.8408488035202026, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8479249477386475, max_false: 0.8662647008895874, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.862525224685669, max_false: 0.8172693252563477, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8260746598243713, max_false: 0.8943130373954773, correct: False
