experiment run details:
  dataset: openworld
  model: gemma3_4b hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7618188261985779, max_false: 0.6987731456756592, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5955639481544495, max_false: 0.5500567555427551, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7020244598388672, max_false: 0.6525100469589233, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6637399196624756, max_false: 0.4099682867527008, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4773860275745392, max_false: 0.5358794927597046, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7288358211517334, max_false: 0.5182945728302002, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6883276700973511, max_false: 0.6267286539077759, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.38463282585144043, max_false: 0.3446696698665619, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7029730081558228, max_false: 0.68742436170578, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7235909700393677, max_false: 0.7721250653266907, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.453071653842926, max_false: 0.39116227626800537, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.47293588519096375, max_false: 0.4108823537826538, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8827382922172546, max_false: 0.46154311299324036, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4106609523296356, max_false: 0.1693742573261261, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3708058297634125, max_false: 0.3711010813713074, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5963192582130432, max_false: 0.3806910812854767, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6824803352355957, max_false: 0.6089801788330078, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6482260227203369, max_false: 0.6040007472038269, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8355247974395752, max_false: 0.6967832446098328, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4895896911621094, max_false: 0.3715420067310333, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7150320410728455, max_false: 0.6532132029533386, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5276127457618713, max_false: 0.4506395161151886, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7099567651748657, max_false: 0.499470055103302, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.598074197769165, max_false: 0.5867025852203369, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7974039316177368, max_false: 0.7710685729980469, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5457849502563477, max_false: 0.45408421754837036, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7640926241874695, max_false: 0.48082754015922546, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5970262289047241, max_false: 0.592478334903717, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7994784116744995, max_false: 0.5478154420852661, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6138959527015686, max_false: 0.6665815711021423, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5664078593254089, max_false: 0.6123939752578735, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5140582919120789, max_false: 0.35089316964149475, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.701400876045227, max_false: 0.591312825679779, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5498298406600952, max_false: 0.4109880328178406, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6474676728248596, max_false: 0.5341323018074036, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5369487404823303, max_false: 0.36305686831474304, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.43225815892219543, max_false: 0.5202708840370178, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.45320457220077515, max_false: 0.2827400863170624, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8541998267173767, max_false: 0.768765389919281, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6582000851631165, max_false: 0.5590195059776306, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8470799922943115, max_false: 0.6105779409408569, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5460314154624939, max_false: 0.41498279571533203, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6844160556793213, max_false: 0.6738357543945312, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5279794931411743, max_false: 0.44777852296829224, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7908071279525757, max_false: 0.6450616121292114, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5917270183563232, max_false: 0.47209087014198303, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8510491251945496, max_false: 0.6456246376037598, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7326804399490356, max_false: 0.5143572688102722, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6133708357810974, max_false: 0.5320270657539368, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5490968227386475, max_false: 0.43498337268829346, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6629865765571594, max_false: 0.6654393672943115, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5395958423614502, max_false: 0.36278408765792847, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.31265437602996826, max_false: 0.534740149974823, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4716801643371582, max_false: 0.3575018346309662, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8609638214111328, max_false: 0.574888288974762, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7485731840133667, max_false: 0.4023134410381317, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6483882665634155, max_false: 0.5460370779037476, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.44938358664512634, max_false: 0.23883263766765594, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9011095762252808, max_false: 0.5029215216636658, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5554189682006836, max_false: 0.24941600859165192, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6763623952865601, max_false: 0.615368127822876, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.651394784450531, max_false: 0.615038275718689, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.42369067668914795, max_false: 0.43138670921325684, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.572717010974884, max_false: 0.36555880308151245, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7176576852798462, max_false: 0.7770513296127319, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.729174017906189, max_false: 0.5914801359176636, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7052719593048096, max_false: 0.5104684829711914, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7299841642379761, max_false: 0.3390446603298187, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8489280939102173, max_false: 0.6989696621894836, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6179327964782715, max_false: 0.5813652276992798, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5629503130912781, max_false: 0.3888965845108032, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6675068140029907, max_false: 0.43564027547836304, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4896179735660553, max_false: 0.4585907459259033, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6316986083984375, max_false: 0.4518013298511505, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6429138779640198, max_false: 0.7144883275032043, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7669945359230042, max_false: 0.7982399463653564, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7516515851020813, max_false: 0.809885561466217, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5098420977592468, max_false: 0.43167105317115784, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7050080895423889, max_false: 0.6153006553649902, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5935184359550476, max_false: 0.3798984885215759, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7957029342651367, max_false: 0.6707041263580322, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.552051305770874, max_false: 0.42907971143722534, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8542574048042297, max_false: 0.5110928416252136, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5239620804786682, max_false: 0.44285809993743896, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.691190779209137, max_false: 0.584565281867981, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5893838405609131, max_false: 0.5178471207618713, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5545992851257324, max_false: 0.42832455039024353, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7702782154083252, max_false: 0.4184231460094452, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8185245990753174, max_false: 0.5150659680366516, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5081314444541931, max_false: 0.3807377815246582, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6476384997367859, max_false: 0.5317769646644592, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6595833897590637, max_false: 0.6308573484420776, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5923438668251038, max_false: 0.47700485587120056, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.56647127866745, max_false: 0.35264822840690613, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6183018684387207, max_false: 0.8119410276412964, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7098499536514282, max_false: 0.600898027420044, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5260300636291504, max_false: 0.7462233901023865, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5608027577400208, max_false: 0.5928016901016235, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6922120451927185, max_false: 0.5304079055786133, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4880281686782837, max_false: 0.33667898178100586, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6600126624107361, max_false: 0.6324906349182129, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6279289126396179, max_false: 0.5645551085472107, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7559300065040588, max_false: 0.7180488705635071, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6208021640777588, max_false: 0.4616859257221222, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8262446522712708, max_false: 0.41954708099365234, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.540817379951477, max_false: 0.4710238575935364, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8164629340171814, max_false: 0.5010974407196045, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5645326972007751, max_false: 0.4040321111679077, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7730176448822021, max_false: 0.4532173275947571, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5446634292602539, max_false: 0.34930872917175293, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8068089485168457, max_false: 0.703570544719696, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7173366546630859, max_false: 0.6821945905685425, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7971299886703491, max_false: 0.7532376050949097, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7691812515258789, max_false: 0.7261072397232056, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7132366895675659, max_false: 0.6648702621459961, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6826867461204529, max_false: 0.5859758257865906, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8387297987937927, max_false: 0.5979917645454407, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6699966788291931, max_false: 0.6696542501449585, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6735448241233826, max_false: 0.6860771775245667, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7160902619361877, max_false: 0.6391687393188477, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7266250848770142, max_false: 0.6250104904174805, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6060380339622498, max_false: 0.4831378757953644, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6877743005752563, max_false: 0.4960246682167053, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6094194650650024, max_false: 0.3508341610431671, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.733512282371521, max_false: 0.6471191644668579, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7806434631347656, max_false: 0.5720922350883484, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8333584070205688, max_false: 0.6729883551597595, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6658056974411011, max_false: 0.6531209945678711, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.79696124792099, max_false: 0.7354299426078796, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6473199725151062, max_false: 0.5036941766738892, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7484179139137268, max_false: 0.7074221968650818, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5360339283943176, max_false: 0.45995086431503296, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7900254726409912, max_false: 0.6776630878448486, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6967384815216064, max_false: 0.5763344764709473, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7860468029975891, max_false: 0.6710658073425293, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5147654414176941, max_false: 0.36493128538131714, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8062711358070374, max_false: 0.5182928442955017, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5954206585884094, max_false: 0.5582837462425232, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6495738625526428, max_false: 0.47717681527137756, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5348849892616272, max_false: 0.40989378094673157, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8659203052520752, max_false: 0.7359614372253418, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5459814667701721, max_false: 0.4828645884990692, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5157623291015625, max_false: 0.6272050142288208, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.77608323097229, max_false: 0.45395946502685547, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7725634574890137, max_false: 0.8100749850273132, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6843402981758118, max_false: 0.6969892978668213, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.1760602742433548, max_false: 0.31175798177719116, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4970656931400299, max_false: 0.490238219499588, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.698370099067688, max_false: 0.7681256532669067, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6987658739089966, max_false: 0.5544068813323975, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5462380051612854, max_false: 0.5287727117538452, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6515510678291321, max_false: 0.2590334117412567, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7382289171218872, max_false: 0.6479354500770569, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6180791258811951, max_false: 0.6655709147453308, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6296891570091248, max_false: 0.733767569065094, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.75994873046875, max_false: 0.7325810790061951, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.42418530583381653, max_false: 0.5243613123893738, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4748730957508087, max_false: 0.3573642671108246, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6040594577789307, max_false: 0.4251864552497864, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5833836793899536, max_false: 0.25646546483039856, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6948514580726624, max_false: 0.6277623772621155, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6392197608947754, max_false: 0.49249619245529175, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.61210036277771, max_false: 0.49771562218666077, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5288606882095337, max_false: 0.4038828909397125, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7382045984268188, max_false: 0.7627084255218506, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7262662649154663, max_false: 0.7333778142929077, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8108903169631958, max_false: 0.7778062224388123, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5584924221038818, max_false: 0.5031663179397583, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8568294048309326, max_false: 0.7777910828590393, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6992912888526917, max_false: 0.8059582710266113, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6927043199539185, max_false: 0.5315195322036743, correct: True
