experiment run details:
  dataset: openworld
  model: gemma3_4b hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.967247486114502, max_false: 0.9362112283706665, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9447137713432312, max_false: 0.936413049697876, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9383729100227356, max_false: 0.9309597611427307, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8935855031013489, max_false: 0.8772262930870056, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9247853755950928, max_false: 0.9075433015823364, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9310691952705383, max_false: 0.9109445810317993, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9519903659820557, max_false: 0.9359258413314819, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8816912174224854, max_false: 0.9022859334945679, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9589859843254089, max_false: 0.9336757659912109, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9280502796173096, max_false: 0.9240060448646545, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.935434877872467, max_false: 0.9181634187698364, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9147321581840515, max_false: 0.91949462890625, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9632549285888672, max_false: 0.9318709373474121, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9372398853302002, max_false: 0.9081132411956787, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.970508873462677, max_false: 0.9426959753036499, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9222875237464905, max_false: 0.900572657585144, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9661083221435547, max_false: 0.9475660920143127, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9142946600914001, max_false: 0.9152655005455017, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9715158939361572, max_false: 0.9377322196960449, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9189454913139343, max_false: 0.8995279669761658, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.920539140701294, max_false: 0.917971134185791, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8914663791656494, max_false: 0.8906342387199402, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9620511531829834, max_false: 0.9463394284248352, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.922066330909729, max_false: 0.9174703359603882, correct: True
