experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8260395526885986, max_false: 0.8770356178283691, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8870512843132019, max_false: 0.8262342214584351, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8524714708328247, max_false: 0.8993620276451111, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8945052623748779, max_false: 0.8383667469024658, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.830146074295044, max_false: 0.8929134011268616, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8922833800315857, max_false: 0.8330131769180298, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8448376059532166, max_false: 0.8895041346549988, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8767842054367065, max_false: 0.8166285157203674, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8356251120567322, max_false: 0.8904306888580322, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8833861947059631, max_false: 0.8222253322601318, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8162045478820801, max_false: 0.8846766948699951, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8975182175636292, max_false: 0.8292844295501709, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8153037428855896, max_false: 0.8981402516365051, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8934536576271057, max_false: 0.8334159255027771, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8358985781669617, max_false: 0.8962068557739258, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9003031849861145, max_false: 0.8359510898590088, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8419221639633179, max_false: 0.8990300893783569, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9103235006332397, max_false: 0.8319743871688843, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8442667722702026, max_false: 0.8930248618125916, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8867042660713196, max_false: 0.821168065071106, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8203922510147095, max_false: 0.886081337928772, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8925855159759521, max_false: 0.8264623880386353, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8450402021408081, max_false: 0.9023265242576599, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.910163938999176, max_false: 0.8449345827102661, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8265977501869202, max_false: 0.8923164010047913, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8924819827079773, max_false: 0.812455952167511, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8490859866142273, max_false: 0.895797073841095, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9004414081573486, max_false: 0.8306858539581299, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8396545052528381, max_false: 0.9055231213569641, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8787426352500916, max_false: 0.7973049283027649, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8430533409118652, max_false: 0.88792484998703, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9021453261375427, max_false: 0.837348222732544, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8327049612998962, max_false: 0.8957983255386353, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.891575276851654, max_false: 0.8226811289787292, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.839448094367981, max_false: 0.8930943012237549, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8957327008247375, max_false: 0.8358792662620544, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8388184309005737, max_false: 0.8995770812034607, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9029940962791443, max_false: 0.8473798036575317, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8516777157783508, max_false: 0.9010419845581055, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8833335638046265, max_false: 0.819220244884491, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8211125731468201, max_false: 0.8819154500961304, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8873654007911682, max_false: 0.824234127998352, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8324596285820007, max_false: 0.8899702429771423, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9015270471572876, max_false: 0.8559756875038147, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8340867757797241, max_false: 0.8909600377082825, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8997534513473511, max_false: 0.8373568058013916, correct: True
