experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8203840255737305, max_false: 0.8676222562789917, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8924431800842285, max_false: 0.8228184580802917, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8480668663978577, max_false: 0.8956289887428284, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8940118551254272, max_false: 0.8309357166290283, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8265877962112427, max_false: 0.8891987204551697, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8887741565704346, max_false: 0.8254576921463013, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8495297431945801, max_false: 0.9038476347923279, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8815746307373047, max_false: 0.8180345296859741, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8445059657096863, max_false: 0.8979456424713135, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8769854307174683, max_false: 0.8156890869140625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8117761015892029, max_false: 0.8881109952926636, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8965277671813965, max_false: 0.8224599957466125, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8036095499992371, max_false: 0.8885267972946167, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8977250456809998, max_false: 0.8354522585868835, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8322614431381226, max_false: 0.898546040058136, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9043851494789124, max_false: 0.8451740145683289, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8462400436401367, max_false: 0.900549590587616, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9096885323524475, max_false: 0.8307676315307617, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8380696773529053, max_false: 0.8924741744995117, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8899139761924744, max_false: 0.8262962698936462, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8160651326179504, max_false: 0.8836799263954163, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8926008343696594, max_false: 0.8248099088668823, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8359916806221008, max_false: 0.883500874042511, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8965914249420166, max_false: 0.8244162797927856, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8369020223617554, max_false: 0.8947389125823975, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8922499418258667, max_false: 0.8155004382133484, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.850204586982727, max_false: 0.9033949375152588, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9012848734855652, max_false: 0.8311223983764648, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8429430723190308, max_false: 0.9134916067123413, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8771907091140747, max_false: 0.8014682531356812, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8373121619224548, max_false: 0.89571213722229, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9033949971199036, max_false: 0.8305205702781677, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.834295392036438, max_false: 0.8927950263023376, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8987345695495605, max_false: 0.8282214999198914, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8349888324737549, max_false: 0.8896821737289429, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9025749564170837, max_false: 0.8404403328895569, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8356505632400513, max_false: 0.9010719060897827, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8966753482818604, max_false: 0.8458976745605469, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8492836952209473, max_false: 0.9094940423965454, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8912280201911926, max_false: 0.8285379409790039, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.822356641292572, max_false: 0.8799906373023987, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8899147510528564, max_false: 0.823660135269165, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8318947553634644, max_false: 0.8907312154769897, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9056508541107178, max_false: 0.8584778308868408, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8317857384681702, max_false: 0.8911705017089844, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9000095725059509, max_false: 0.8335865139961243, correct: True
