----- test_seen_obj_seen_act -----
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8188009858131409, max_false: 0.8666412830352783, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8796618580818176, max_false: 0.8119668364524841, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8559895157814026, max_false: 0.8991385698318481, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8920572996139526, max_false: 0.8328737616539001, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8345876336097717, max_false: 0.8887884616851807, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8874180912971497, max_false: 0.8296460509300232, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8384833335876465, max_false: 0.8836140632629395, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8823980689048767, max_false: 0.8206106424331665, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.841972827911377, max_false: 0.8918648362159729, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8827357888221741, max_false: 0.8232443332672119, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8342879414558411, max_false: 0.8864143490791321, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8923189043998718, max_false: 0.8376129865646362, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.800900936126709, max_false: 0.8901106715202332, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8950534462928772, max_false: 0.8424975872039795, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8303361535072327, max_false: 0.8936317563056946, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8965303897857666, max_false: 0.8377945423126221, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8500970602035522, max_false: 0.9014397263526917, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9048779010772705, max_false: 0.8417591452598572, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8530875444412231, max_false: 0.8900459408760071, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8809434771537781, max_false: 0.819480836391449, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8291096091270447, max_false: 0.8701257705688477, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8813977837562561, max_false: 0.8345204591751099, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.834787130355835, max_false: 0.8879965543746948, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.897092342376709, max_false: 0.8339645862579346, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8356122374534607, max_false: 0.8874228000640869, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8749097585678101, max_false: 0.8032181262969971, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8493333458900452, max_false: 0.8903989791870117, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8990985155105591, max_false: 0.8492834568023682, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.844805896282196, max_false: 0.9033049941062927, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8819407224655151, max_false: 0.8233581781387329, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8342061638832092, max_false: 0.8797938823699951, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8973661661148071, max_false: 0.8331681489944458, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8374893069267273, max_false: 0.8918725252151489, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8844236135482788, max_false: 0.8312562108039856, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8442491292953491, max_false: 0.893283486366272, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8977022171020508, max_false: 0.849215567111969, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8371248841285706, max_false: 0.8938459157943726, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.892239511013031, max_false: 0.8441287279129028, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8475762605667114, max_false: 0.8947219252586365, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.881916344165802, max_false: 0.8338345289230347, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8220136165618896, max_false: 0.8815948367118835, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8926499485969543, max_false: 0.8372732400894165, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8244042992591858, max_false: 0.880050539970398, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8879044055938721, max_false: 0.8255988955497742, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8314842581748962, max_false: 0.8777707815170288, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8933121562004089, max_false: 0.8366377353668213, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8479375243186951, max_false: 0.8785190582275391, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.882326066493988, max_false: 0.8336696028709412, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8376848697662354, max_false: 0.8841730356216431, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8902103304862976, max_false: 0.8366745114326477, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8343902826309204, max_false: 0.8769459128379822, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8873265981674194, max_false: 0.8501632213592529, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8450020551681519, max_false: 0.8825293779373169, correct: False
