experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8256564736366272, max_false: 0.8832870125770569, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8943754434585571, max_false: 0.819210946559906, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8522816300392151, max_false: 0.9054317474365234, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8979441523551941, max_false: 0.8366129994392395, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8378013968467712, max_false: 0.8984899520874023, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8971487283706665, max_false: 0.8267548084259033, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8446928858757019, max_false: 0.8983526229858398, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8985616564750671, max_false: 0.8286641240119934, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8510691523551941, max_false: 0.9050782918930054, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8902333974838257, max_false: 0.8289889097213745, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8385774493217468, max_false: 0.8964618444442749, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8945602178573608, max_false: 0.8330805897712708, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8006740212440491, max_false: 0.8931268453598022, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9058138132095337, max_false: 0.8550596833229065, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8404849171638489, max_false: 0.9050155878067017, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9100534915924072, max_false: 0.84649258852005, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8506874442100525, max_false: 0.907152533531189, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9070253372192383, max_false: 0.8359165191650391, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8575944304466248, max_false: 0.9010223746299744, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8941283226013184, max_false: 0.8283989429473877, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8355911374092102, max_false: 0.884719729423523, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8902510404586792, max_false: 0.8324210047721863, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8469579219818115, max_false: 0.8927677869796753, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8958086371421814, max_false: 0.836202085018158, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8454576730728149, max_false: 0.8985744714736938, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8864260911941528, max_false: 0.8135328888893127, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8543302416801453, max_false: 0.9074192643165588, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9117147922515869, max_false: 0.8530759811401367, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8531432747840881, max_false: 0.9105305671691895, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8942502737045288, max_false: 0.8365520238876343, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8457573056221008, max_false: 0.8935775756835938, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9057894945144653, max_false: 0.836599588394165, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8348587155342102, max_false: 0.89835125207901, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8946539163589478, max_false: 0.8387748003005981, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.848051905632019, max_false: 0.9029762148857117, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9100827574729919, max_false: 0.8552473187446594, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8447974920272827, max_false: 0.9072252511978149, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9029659628868103, max_false: 0.8492161631584167, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8424232006072998, max_false: 0.9020869135856628, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8920721411705017, max_false: 0.8331508636474609, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8271413445472717, max_false: 0.8884748220443726, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9017820954322815, max_false: 0.8396623134613037, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.827344536781311, max_false: 0.8892812132835388, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9009382724761963, max_false: 0.8380119204521179, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8360329270362854, max_false: 0.8886591792106628, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9030784964561462, max_false: 0.8451946377754211, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8499081134796143, max_false: 0.8913846015930176, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8780608773231506, max_false: 0.8265406489372253, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8488686680793762, max_false: 0.8947855234146118, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9010754823684692, max_false: 0.8356102108955383, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8430800437927246, max_false: 0.891211748123169, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8977325558662415, max_false: 0.8491727709770203, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.846573531627655, max_false: 0.892427384853363, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.88852459192276, max_false: 0.8308431506156921, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.847105860710144, max_false: 0.9043376445770264, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8990288376808167, max_false: 0.8313691020011902, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8581547737121582, max_false: 0.8991059064865112, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9122774004936218, max_false: 0.8520327806472778, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8251571655273438, max_false: 0.8913043141365051, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9090195298194885, max_false: 0.8391305804252625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8185372948646545, max_false: 0.8858926296234131, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.889362096786499, max_false: 0.8118956089019775, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8448337912559509, max_false: 0.9006891250610352, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8918788433074951, max_false: 0.8392600417137146, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.834583044052124, max_false: 0.8979600667953491, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9016290307044983, max_false: 0.8389378786087036, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8783566355705261, max_false: 0.9304928779602051, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.911724865436554, max_false: 0.8545418381690979, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8551720976829529, max_false: 0.9170454144477844, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8899003267288208, max_false: 0.8418602347373962, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8672853708267212, max_false: 0.9134440422058105, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9112252593040466, max_false: 0.8541660308837891, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8143535256385803, max_false: 0.888947069644928, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.904926061630249, max_false: 0.833091676235199, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.844254195690155, max_false: 0.904760479927063, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8942328095436096, max_false: 0.8377100825309753, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.845822811126709, max_false: 0.8983023762702942, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9005792140960693, max_false: 0.8347060680389404, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8365676999092102, max_false: 0.8954616189002991, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8805257678031921, max_false: 0.8253223299980164, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8132374286651611, max_false: 0.8858808875083923, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8933072090148926, max_false: 0.8270864486694336, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8373470306396484, max_false: 0.895220160484314, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8985902070999146, max_false: 0.8321785926818848, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8515301942825317, max_false: 0.9032947421073914, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8976280093193054, max_false: 0.8406614065170288, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8662250638008118, max_false: 0.9103731513023376, correct: False
