experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9454488158226013, max_false: 0.9365650415420532, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9455838799476624, max_false: 0.9124250411987305, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9712757468223572, max_false: 0.9495145082473755, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9451234340667725, max_false: 0.9286254048347473, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9268395900726318, max_false: 0.907491147518158, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9244454503059387, max_false: 0.9286051392555237, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9601318836212158, max_false: 0.9429739117622375, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9477742910385132, max_false: 0.9348701238632202, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9521686434745789, max_false: 0.9383680820465088, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9550792574882507, max_false: 0.936908483505249, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9055425524711609, max_false: 0.9191188216209412, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.933146595954895, max_false: 0.9243902564048767, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9052613377571106, max_false: 0.9083005785942078, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9421755075454712, max_false: 0.9429365992546082, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9468075633049011, max_false: 0.9302681088447571, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.952978789806366, max_false: 0.9631357192993164, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9705225825309753, max_false: 0.931003212928772, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9567793011665344, max_false: 0.9306970238685608, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9780545830726624, max_false: 0.9438334107398987, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9450719952583313, max_false: 0.9388197064399719, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.934727668762207, max_false: 0.9116823077201843, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.953526496887207, max_false: 0.9305546283721924, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9566580653190613, max_false: 0.9332834482192993, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9524029493331909, max_false: 0.9363353848457336, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.958620548248291, max_false: 0.9370844960212708, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.930961012840271, max_false: 0.9139559864997864, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9673676490783691, max_false: 0.95780348777771, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9413372278213501, max_false: 0.9222059845924377, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.948959469795227, max_false: 0.9363621473312378, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8954506516456604, max_false: 0.8824282884597778, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9531965255737305, max_false: 0.9336373805999756, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9604002237319946, max_false: 0.9389724135398865, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9399003982543945, max_false: 0.9367950558662415, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9281318187713623, max_false: 0.935634434223175, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9702849984169006, max_false: 0.9517678022384644, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9463492035865784, max_false: 0.9483978748321533, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9568718671798706, max_false: 0.9315232038497925, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9198328256607056, max_false: 0.9329051971435547, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9732047319412231, max_false: 0.9684900045394897, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9423263669013977, max_false: 0.9163256883621216, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9031728506088257, max_false: 0.8869293928146362, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9213787913322449, max_false: 0.918859601020813, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9234958291053772, max_false: 0.9145112037658691, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9399725198745728, max_false: 0.9409722685813904, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.953488826751709, max_false: 0.943618893623352, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9349808096885681, max_false: 0.9352814555168152, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9671311378479004, max_false: 0.9601651430130005, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9335105419158936, max_false: 0.9320454597473145, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9584100842475891, max_false: 0.9419675469398499, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9431347846984863, max_false: 0.9200824499130249, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9030522704124451, max_false: 0.8984254002571106, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9455534815788269, max_false: 0.9696136713027954, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.971281886100769, max_false: 0.9320802688598633, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9350056052207947, max_false: 0.9184946417808533, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9531475305557251, max_false: 0.9504821300506592, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9402535557746887, max_false: 0.9448745250701904, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9461910128593445, max_false: 0.9251351952552795, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9215370416641235, max_false: 0.9266113042831421, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9339584112167358, max_false: 0.9165447950363159, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9472481608390808, max_false: 0.9459821581840515, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9195582866668701, max_false: 0.9301509857177734, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9575302600860596, max_false: 0.914718747138977, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9537378549575806, max_false: 0.9418462514877319, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9501643776893616, max_false: 0.948236882686615, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9313511848449707, max_false: 0.9331153035163879, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9512060880661011, max_false: 0.9561291337013245, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9644463062286377, max_false: 0.9568753838539124, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9617896676063538, max_false: 0.9580698609352112, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9698466062545776, max_false: 0.9640316963195801, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8667389154434204, max_false: 0.8913748264312744, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9729679226875305, max_false: 0.948047399520874, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9543633460998535, max_false: 0.9454736113548279, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9318656325340271, max_false: 0.9284024834632874, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9504982233047485, max_false: 0.9457195401191711, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9396361708641052, max_false: 0.9415445923805237, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9549816846847534, max_false: 0.9359304308891296, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9484935402870178, max_false: 0.9455951452255249, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.943927526473999, max_false: 0.9357079267501831, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8985400795936584, max_false: 0.8774073719978333, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9232949018478394, max_false: 0.9363948106765747, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9236663579940796, max_false: 0.8884651064872742, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9252341389656067, max_false: 0.9149900674819946, correct: True
