experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8393423557281494, max_false: 0.8679429292678833, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8807534575462341, max_false: 0.8374991416931152, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8673014044761658, max_false: 0.8925721645355225, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8915338516235352, max_false: 0.8509297966957092, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8442533612251282, max_false: 0.8888580799102783, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8836516737937927, max_false: 0.840087890625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8550269603729248, max_false: 0.8830861449241638, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8770635724067688, max_false: 0.832427978515625, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8517615795135498, max_false: 0.8919917941093445, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8795279860496521, max_false: 0.8322136402130127, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8271401524543762, max_false: 0.8752518892288208, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8893105983734131, max_false: 0.8442097306251526, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8228209614753723, max_false: 0.8931529521942139, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8890814185142517, max_false: 0.8557013273239136, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8505723476409912, max_false: 0.8945895433425903, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8941118121147156, max_false: 0.8524212837219238, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8594998717308044, max_false: 0.8917592763900757, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9021462798118591, max_false: 0.8551455140113831, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8626388311386108, max_false: 0.8851757645606995, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8802933692932129, max_false: 0.8378072381019592, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8287789821624756, max_false: 0.8735629320144653, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8852639198303223, max_false: 0.8408770561218262, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8573250770568848, max_false: 0.9019821286201477, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8995018005371094, max_false: 0.8547552824020386, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.842059314250946, max_false: 0.8818660974502563, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8830769062042236, max_false: 0.8213779926300049, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8655581474304199, max_false: 0.8903579115867615, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8911210298538208, max_false: 0.8433286547660828, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8666685819625854, max_false: 0.8991990685462952, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8737702965736389, max_false: 0.8278114795684814, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8552902340888977, max_false: 0.8851096630096436, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8997504115104675, max_false: 0.8518116474151611, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8468809127807617, max_false: 0.893027663230896, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8779327273368835, max_false: 0.8314264416694641, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8488041162490845, max_false: 0.8899864554405212, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894109845161438, max_false: 0.8459163904190063, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.855238139629364, max_false: 0.894098699092865, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.898380696773529, max_false: 0.8589770197868347, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8642717599868774, max_false: 0.8923585414886475, correct: False
