experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8349266052246094, max_false: 0.867233157157898, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8906979560852051, max_false: 0.8379937410354614, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8652714490890503, max_false: 0.9008139967918396, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8990001678466797, max_false: 0.8501368761062622, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8505150675773621, max_false: 0.8962986469268799, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8939864039421082, max_false: 0.8446820974349976, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8643603324890137, max_false: 0.9065439105033875, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8910509943962097, max_false: 0.8383811712265015, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8553652763366699, max_false: 0.8958085775375366, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8814243078231812, max_false: 0.8274543285369873, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8265756368637085, max_false: 0.8869726657867432, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.891038715839386, max_false: 0.830208420753479, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8077996373176575, max_false: 0.8902056217193604, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8996084332466125, max_false: 0.8531544804573059, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8435331583023071, max_false: 0.8985055685043335, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8985265493392944, max_false: 0.8538755774497986, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8688244223594666, max_false: 0.905400276184082, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9071564078330994, max_false: 0.8526079654693604, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.858029305934906, max_false: 0.891890287399292, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8892207741737366, max_false: 0.8441666960716248, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8310466408729553, max_false: 0.883564829826355, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894317626953125, max_false: 0.8443329930305481, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8547564744949341, max_false: 0.8852313756942749, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8952817320823669, max_false: 0.8452765941619873, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8510319590568542, max_false: 0.8962545990943909, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8877072930335999, max_false: 0.823617160320282, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.870517373085022, max_false: 0.9053453803062439, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.902960479259491, max_false: 0.8478106260299683, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8640868663787842, max_false: 0.91226726770401, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8744597434997559, max_false: 0.8275880813598633, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.859103262424469, max_false: 0.8940064311027527, correct: False
