----- test_seen_obj_seen_act -----
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4969654679298401, max_false: 0.5245477557182312, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7636359930038452, max_false: 0.19453293085098267, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8665271997451782, max_false: 0.7250121831893921, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7048574090003967, max_false: 0.24057315289974213, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7131142020225525, max_false: 0.4517271816730499, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5725294351577759, max_false: 0.29282084107398987, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8092732429504395, max_false: 0.6108287572860718, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4248158633708954, max_false: 0.08353201299905777, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6966133713722229, max_false: 0.6164012551307678, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5899735689163208, max_false: 0.1897599995136261, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5560587644577026, max_false: 0.5726472735404968, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5483587980270386, max_false: 0.7915729880332947, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7348876595497131, max_false: 0.4260219931602478, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4522106647491455, max_false: 0.7195566296577454, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7847484946250916, max_false: 0.34022077918052673, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7109793424606323, max_false: 0.618338942527771, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8570466041564941, max_false: 0.42929646372795105, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7245367765426636, max_false: 0.3052833378314972, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8669769763946533, max_false: 0.46303853392601013, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5686749219894409, max_false: 0.13543692231178284, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5222507119178772, max_false: 0.5016542077064514, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4900965690612793, max_false: 0.5189388990402222, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7326976656913757, max_false: 0.6250048279762268, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8518204689025879, max_false: 0.42863041162490845, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8146312832832336, max_false: 0.43587395548820496, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5854660868644714, max_false: 0.20399586856365204, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.767861545085907, max_false: 0.48893627524375916, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7103309035301208, max_false: 0.49930539727211, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8551485538482666, max_false: 0.3996846675872803, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6588888764381409, max_false: 0.27204129099845886, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.785407543182373, max_false: 0.387518972158432, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7193151116371155, max_false: 0.22258006036281586, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7631880044937134, max_false: 0.6757768988609314, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7451604008674622, max_false: 0.6417528986930847, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8162370324134827, max_false: 0.4218898117542267, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5712803602218628, max_false: 0.4609099328517914, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.23461055755615234, max_false: 0.4319283366203308, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6319442391395569, max_false: 0.4861550033092499, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.870456874370575, max_false: 0.5964882969856262, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6303765177726746, max_false: 0.31023746728897095, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6860780119895935, max_false: 0.5051533579826355, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5783122181892395, max_false: 0.46704113483428955, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5479438304901123, max_false: 0.7381846308708191, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6513028144836426, max_false: 0.7512154579162598, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6205112338066101, max_false: 0.3357830345630646, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6720661520957947, max_false: 0.4605490267276764, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8251346349716187, max_false: 0.4108039438724518, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4688926041126251, max_false: 0.25104448199272156, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8164838552474976, max_false: 0.498121052980423, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6609777212142944, max_false: 0.232936829328537, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7361166477203369, max_false: 0.48748311400413513, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.636389970779419, max_false: 0.8551166653633118, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8505998253822327, max_false: 0.5638416409492493, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5767179131507874, max_false: 0.32919856905937195, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7607860565185547, max_false: 0.7588470578193665, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.77973473072052, max_false: 0.6852920651435852, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8821198344230652, max_false: 0.43759119510650635, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4882720708847046, max_false: 0.33995044231414795, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.689395010471344, max_false: 0.6969048976898193, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.793332576751709, max_false: 0.5376176238059998, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3492555320262909, max_false: 0.5954676270484924, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7455928325653076, max_false: 0.5019674897193909, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8783507347106934, max_false: 0.6658995151519775, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6591164469718933, max_false: 0.8057078719139099, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6615395545959473, max_false: 0.4213770627975464, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.35426169633865356, max_false: 0.20785817503929138, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7868282198905945, max_false: 0.23961307108402252, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.42893752455711365, max_false: 0.2506389319896698, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4511474072933197, max_false: 0.7971985936164856, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.45045652985572815, max_false: 0.5503906607627869, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.87723708152771, max_false: 0.47095996141433716, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6776111125946045, max_false: 0.46648216247558594, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4806336462497711, max_false: 0.5901416540145874, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5877436995506287, max_false: 0.23076926171779633, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.678928554058075, max_false: 0.45697563886642456, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7231102585792542, max_false: 0.34080976247787476, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8770684003829956, max_false: 0.5969961881637573, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6566746830940247, max_false: 0.44168034195899963, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5143784284591675, max_false: 0.5418357849121094, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4676828980445862, max_false: 0.8102728128433228, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6434723734855652, max_false: 0.48955029249191284, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6285161375999451, max_false: 0.5331276655197144, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7673565149307251, max_false: 0.4033396542072296, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5509443283081055, max_false: 0.5175709128379822, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.762262761592865, max_false: 0.30889561772346497, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.36543235182762146, max_false: 0.17489773035049438, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8511288166046143, max_false: 0.4324657917022705, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5578383207321167, max_false: 0.13263578712940216, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5723232626914978, max_false: 0.5657521486282349, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.688019335269928, max_false: 0.594346284866333, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8834064602851868, max_false: 0.5059421062469482, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6261084079742432, max_false: 0.29014724493026733, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8213748931884766, max_false: 0.4999573230743408, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6585672497749329, max_false: 0.2717622220516205, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8511237502098083, max_false: 0.5384382009506226, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.37294235825538635, max_false: 0.3117511570453644, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9098370671272278, max_false: 0.5006013512611389, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6327552795410156, max_false: 0.23490333557128906, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7955571413040161, max_false: 0.450853556394577, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3546120524406433, max_false: 0.43059083819389343, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6837593913078308, max_false: 0.616603672504425, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6296822428703308, max_false: 0.6238632798194885, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6683599948883057, max_false: 0.56264328956604, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6486477851867676, max_false: 0.19841058552265167, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5908591151237488, max_false: 0.47810810804367065, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4540087580680847, max_false: 0.2116302251815796, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8013814687728882, max_false: 0.5561951398849487, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.702012300491333, max_false: 0.39858922362327576, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.847333550453186, max_false: 0.4033687710762024, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7402861714363098, max_false: 0.09037869423627853, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7509558200836182, max_false: 0.5476337671279907, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.669832706451416, max_false: 0.4439184069633484, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.824458658695221, max_false: 0.366626501083374, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5938840508460999, max_false: 0.11132139712572098, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.694094717502594, max_false: 0.40196549892425537, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5227271914482117, max_false: 0.2878613770008087, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6205019950866699, max_false: 0.5230804085731506, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6544058918952942, max_false: 0.5234755277633667, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7925949692726135, max_false: 0.468241810798645, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7788065075874329, max_false: 0.39002564549446106, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7711036205291748, max_false: 0.4656526744365692, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.630137026309967, max_false: 0.578576922416687, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.28543367981910706, max_false: 0.4050978720188141, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6155340671539307, max_false: 0.259080708026886, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4280948340892792, max_false: 0.5926647186279297, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4453062415122986, max_false: 0.16845300793647766, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3898007273674011, max_false: 0.35452738404273987, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.42972174286842346, max_false: 0.6826761364936829, correct: False
