experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.516914427280426, max_false: 0.5296803116798401, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7389633059501648, max_false: 0.20334941148757935, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8659375309944153, max_false: 0.6937217116355896, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7118117809295654, max_false: 0.23370201885700226, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6590945720672607, max_false: 0.4477594494819641, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5768787860870361, max_false: 0.31305742263793945, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8254827857017517, max_false: 0.6362879276275635, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3967731297016144, max_false: 0.07741668075323105, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6932733058929443, max_false: 0.6117854714393616, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5997104644775391, max_false: 0.17520301043987274, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5270715355873108, max_false: 0.6013333797454834, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6026726961135864, max_false: 0.7416835427284241, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6934138536453247, max_false: 0.3990829885005951, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4799368977546692, max_false: 0.7449174523353577, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7564492225646973, max_false: 0.3477516770362854, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7060884833335876, max_false: 0.6136511564254761, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8677058219909668, max_false: 0.4629010856151581, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7330963015556335, max_false: 0.29979607462882996, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8531859517097473, max_false: 0.47134482860565186, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5782815217971802, max_false: 0.1360483467578888, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5498641729354858, max_false: 0.5239155888557434, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5191428661346436, max_false: 0.5330744981765747, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6697011590003967, max_false: 0.6197823286056519, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8165871500968933, max_false: 0.3724236786365509, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7875856757164001, max_false: 0.47272586822509766, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5845630168914795, max_false: 0.22544415295124054, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7614161968231201, max_false: 0.4893699586391449, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6933329701423645, max_false: 0.4993152916431427, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8445517420768738, max_false: 0.3950783610343933, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6355924010276794, max_false: 0.29966220259666443, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7841106653213501, max_false: 0.3855781555175781, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7167405486106873, max_false: 0.23197892308235168, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7455326318740845, max_false: 0.6729023456573486, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7695159912109375, max_false: 0.6303832530975342, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.802717387676239, max_false: 0.42690014839172363, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5265191793441772, max_false: 0.42396146059036255, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.2742473781108856, max_false: 0.44665205478668213, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5937528014183044, max_false: 0.4408835172653198, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8570440411567688, max_false: 0.5611667037010193, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6041081547737122, max_false: 0.3160955607891083, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6118828654289246, max_false: 0.46161431074142456, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6247252225875854, max_false: 0.5411278605461121, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5368950963020325, max_false: 0.689113438129425, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6672690510749817, max_false: 0.7283227443695068, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5363377928733826, max_false: 0.3003099262714386, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6784143447875977, max_false: 0.4744115471839905, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8147908449172974, max_false: 0.46629250049591064, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4423045516014099, max_false: 0.26265570521354675, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8272746801376343, max_false: 0.5228705406188965, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6440677046775818, max_false: 0.20859219133853912, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7699795961380005, max_false: 0.4951711893081665, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6333301663398743, max_false: 0.8439943790435791, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8451045751571655, max_false: 0.5826019048690796, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.569939911365509, max_false: 0.32053428888320923, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7202207446098328, max_false: 0.7276099324226379, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7526914477348328, max_false: 0.6592769622802734, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8683335781097412, max_false: 0.4304880201816559, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.507219672203064, max_false: 0.33968228101730347, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7269995808601379, max_false: 0.7029873728752136, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7703703045845032, max_false: 0.5106119513511658, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.35798412561416626, max_false: 0.6204462051391602, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7415456175804138, max_false: 0.4783356487751007, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8427044749259949, max_false: 0.7520055770874023, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6769788861274719, max_false: 0.7637362480163574, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6361653804779053, max_false: 0.44965746998786926, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.320614218711853, max_false: 0.20437397062778473, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7637454867362976, max_false: 0.24583612382411957, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4618947207927704, max_false: 0.2658323049545288, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5092469453811646, max_false: 0.8064805865287781, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4593525826931, max_false: 0.5464658737182617, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.880128800868988, max_false: 0.46316128969192505, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6611785888671875, max_false: 0.46861112117767334, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5132986307144165, max_false: 0.5990481972694397, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5905783772468567, max_false: 0.2494857907295227, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.677004873752594, max_false: 0.45319831371307373, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6455318927764893, max_false: 0.3612474799156189, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8163459897041321, max_false: 0.6742803454399109, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6421991586685181, max_false: 0.44370776414871216, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.44404199719429016, max_false: 0.5066804885864258, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.482277512550354, max_false: 0.8218989968299866, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6435238718986511, max_false: 0.49592325091362, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6512424945831299, max_false: 0.5139269828796387, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7583322525024414, max_false: 0.4315913915634155, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5430092811584473, max_false: 0.5297313332557678, correct: True
