experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8151682615280151, max_false: 0.88992840051651, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8867543339729309, max_false: 0.7913395762443542, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7923468947410583, max_false: 0.8761224746704102, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8848510980606079, max_false: 0.7826856970787048, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8255506157875061, max_false: 0.8902193903923035, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9020363688468933, max_false: 0.8302726745605469, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8296743035316467, max_false: 0.8822600245475769, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.872085690498352, max_false: 0.819459855556488, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8359348773956299, max_false: 0.8924522995948792, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8954468965530396, max_false: 0.8309247493743896, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8303678035736084, max_false: 0.8769381642341614, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8917877674102783, max_false: 0.8371230363845825, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8249576687812805, max_false: 0.8925660848617554, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8794021606445312, max_false: 0.8034794926643372, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8372442126274109, max_false: 0.8856188058853149, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8972057104110718, max_false: 0.8263126015663147, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8251671195030212, max_false: 0.8951635360717773, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8964198231697083, max_false: 0.8167642951011658, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8371785879135132, max_false: 0.8959416747093201, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8793830275535583, max_false: 0.7947970032691956, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8189768195152283, max_false: 0.8866952061653137, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8920606970787048, max_false: 0.8194501996040344, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8386898636817932, max_false: 0.9004364609718323, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8728426694869995, max_false: 0.7925018072128296, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8376704454421997, max_false: 0.8979544043540955, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8223469257354736, max_false: 0.7584995031356812, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8216599822044373, max_false: 0.8921321034431458, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8838655948638916, max_false: 0.8072031736373901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8296200633049011, max_false: 0.8822996020317078, correct: False
