experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8156269192695618, max_false: 0.8817117214202881, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8832725286483765, max_false: 0.7853894233703613, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.798369288444519, max_false: 0.8777179718017578, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8903425335884094, max_false: 0.7961348295211792, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8355817198753357, max_false: 0.8906896114349365, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8938565850257874, max_false: 0.8317914009094238, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8151019811630249, max_false: 0.8644261360168457, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8664348125457764, max_false: 0.8137261867523193, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8338527679443359, max_false: 0.8923192024230957, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8883875608444214, max_false: 0.8373503088951111, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8219132423400879, max_false: 0.8741520643234253, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8830797076225281, max_false: 0.8313867449760437, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8331964015960693, max_false: 0.8957874178886414, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8746549487113953, max_false: 0.8111771941184998, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8368772268295288, max_false: 0.877755880355835, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8910542130470276, max_false: 0.8330395817756653, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8270599246025085, max_false: 0.8942716717720032, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8952482342720032, max_false: 0.8235631585121155, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8341655731201172, max_false: 0.8875662684440613, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8813155293464661, max_false: 0.804192066192627, correct: True
