----- test -----
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8244971632957458, max_false: 0.8806016445159912, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8760045766830444, max_false: 0.7834948301315308, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8021610379219055, max_false: 0.8779169917106628, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8837742209434509, max_false: 0.8081059455871582, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8252901434898376, max_false: 0.8792227506637573, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8982576131820679, max_false: 0.8422610759735107, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8241040706634521, max_false: 0.8779486417770386, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8718605637550354, max_false: 0.8181232810020447, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8432028889656067, max_false: 0.8879326581954956, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8930504322052002, max_false: 0.8432002663612366, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.817610502243042, max_false: 0.8660135865211487, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8806068897247314, max_false: 0.8259372711181641, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8342599868774414, max_false: 0.8895729184150696, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8738651871681213, max_false: 0.8294907808303833, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8343955278396606, max_false: 0.8841302990913391, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.884141206741333, max_false: 0.822195291519165, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8395797610282898, max_false: 0.8900704383850098, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8851196765899658, max_false: 0.8351908922195435, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8385226130485535, max_false: 0.8911942839622498, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8744556307792664, max_false: 0.7962872982025146, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8184158802032471, max_false: 0.864551305770874, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8815875053405762, max_false: 0.8155769109725952, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8335509300231934, max_false: 0.8927017450332642, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8642587065696716, max_false: 0.7896273732185364, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8369945883750916, max_false: 0.8906955122947693, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.823170006275177, max_false: 0.7656983733177185, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8401259183883667, max_false: 0.8892968893051147, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8760188817977905, max_false: 0.8143357038497925, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8392255902290344, max_false: 0.8860567212104797, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8813477158546448, max_false: 0.83710116147995, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8221089839935303, max_false: 0.8890902400016785, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8814078569412231, max_false: 0.813370943069458, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.827598512172699, max_false: 0.8671448826789856, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8642507195472717, max_false: 0.7949638962745667, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8332474231719971, max_false: 0.8947790265083313, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8725677728652954, max_false: 0.7982881665229797, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8158639669418335, max_false: 0.8859738111495972, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8719532489776611, max_false: 0.8059272766113281, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8347555994987488, max_false: 0.8824814558029175, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8619889616966248, max_false: 0.8183928728103638, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8444157838821411, max_false: 0.8886764645576477, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.881333589553833, max_false: 0.8210471868515015, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8307533860206604, max_false: 0.8904397487640381, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8781821131706238, max_false: 0.8282448053359985, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.830748975276947, max_false: 0.879102349281311, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8595669865608215, max_false: 0.768619954586029, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8281723260879517, max_false: 0.8571220636367798, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8662293553352356, max_false: 0.8141114711761475, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8254411220550537, max_false: 0.8647334575653076, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8596494793891907, max_false: 0.8112765550613403, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8243973255157471, max_false: 0.8827812671661377, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8603249192237854, max_false: 0.7888338565826416, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8109099864959717, max_false: 0.8800981044769287, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8722895383834839, max_false: 0.8092117309570312, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.838772714138031, max_false: 0.8703808784484863, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8665915727615356, max_false: 0.7939464449882507, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8303364515304565, max_false: 0.884509801864624, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8752235770225525, max_false: 0.8314107060432434, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8312184810638428, max_false: 0.8713365793228149, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8709295988082886, max_false: 0.8077719807624817, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8360173106193542, max_false: 0.8744988441467285, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8674492239952087, max_false: 0.8114218711853027, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8273253440856934, max_false: 0.8884749412536621, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8556066155433655, max_false: 0.7930914759635925, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8531742095947266, max_false: 0.8886667490005493, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8894142508506775, max_false: 0.8442102074623108, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8419769406318665, max_false: 0.8956007361412048, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8954405784606934, max_false: 0.8256130814552307, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8563879728317261, max_false: 0.8867374062538147, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8641413450241089, max_false: 0.8265018463134766, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8191048502922058, max_false: 0.8722215294837952, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8910156488418579, max_false: 0.8273327946662903, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8274552226066589, max_false: 0.870595395565033, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.855720579624176, max_false: 0.8220068216323853, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8347960710525513, max_false: 0.8947784304618835, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8947115540504456, max_false: 0.8488869667053223, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8235384821891785, max_false: 0.8868942260742188, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8805788159370422, max_false: 0.826904833316803, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8298135995864868, max_false: 0.8637658953666687, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8782777190208435, max_false: 0.8163737654685974, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8286811709403992, max_false: 0.8653867244720459, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8841698169708252, max_false: 0.8237735033035278, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8517752885818481, max_false: 0.8924299478530884, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8778610229492188, max_false: 0.8110218048095703, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8403314352035522, max_false: 0.8665701746940613, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8790497183799744, max_false: 0.8192827701568604, correct: True
