experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8325760364532471, max_false: 0.8837850093841553, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8864115476608276, max_false: 0.8140121698379517, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.798610270023346, max_false: 0.8814577460289001, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8781635165214539, max_false: 0.8126540184020996, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8353066444396973, max_false: 0.8915194272994995, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9005889892578125, max_false: 0.8398829698562622, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8105576038360596, max_false: 0.8724684119224548, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8735568523406982, max_false: 0.8244870901107788, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8467710018157959, max_false: 0.8976376056671143, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.902643620967865, max_false: 0.8499356508255005, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8188040256500244, max_false: 0.8746790885925293, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8763172030448914, max_false: 0.8262056112289429, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8472022414207458, max_false: 0.9024788737297058, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8803315162658691, max_false: 0.830094575881958, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8441554307937622, max_false: 0.8924071192741394, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.885982871055603, max_false: 0.8271427750587463, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8357948064804077, max_false: 0.8961630463600159, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8875937461853027, max_false: 0.8338391780853271, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8413127660751343, max_false: 0.8984004259109497, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8745497465133667, max_false: 0.7974809408187866, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8255976438522339, max_false: 0.8695460557937622, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8777914047241211, max_false: 0.8112440705299377, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8316575884819031, max_false: 0.8944271206855774, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8651859164237976, max_false: 0.8005033731460571, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8472506999969482, max_false: 0.9021530151367188, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8307028412818909, max_false: 0.7695192694664001, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8384817242622375, max_false: 0.8971689939498901, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8836495876312256, max_false: 0.8166800737380981, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8366805911064148, max_false: 0.8990762829780579, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8811143040657043, max_false: 0.833056628704071, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8254835605621338, max_false: 0.9006238579750061, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8885372877120972, max_false: 0.8295705914497375, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8310840129852295, max_false: 0.8784969449043274, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8658218383789062, max_false: 0.7968331575393677, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8138177990913391, max_false: 0.8961498141288757, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8912615180015564, max_false: 0.803814172744751, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.815098762512207, max_false: 0.8851015567779541, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.873799204826355, max_false: 0.8070850968360901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8409298062324524, max_false: 0.8853468894958496, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8639904260635376, max_false: 0.8046395778656006, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8496131896972656, max_false: 0.9004682898521423, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8907437324523926, max_false: 0.8298815488815308, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8424133658409119, max_false: 0.895377516746521, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8871703743934631, max_false: 0.8309712409973145, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.831586480140686, max_false: 0.8860861659049988, correct: False
