experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8349065780639648, max_false: 0.8830641508102417, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8890387415885925, max_false: 0.8125452399253845, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8352096676826477, max_false: 0.8886142373085022, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.87724769115448, max_false: 0.7971324920654297, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8539229035377502, max_false: 0.8817023038864136, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8996150493621826, max_false: 0.866731584072113, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8562716245651245, max_false: 0.8676614761352539, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8504247665405273, max_false: 0.8357119560241699, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8679667711257935, max_false: 0.8872812390327454, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8885989785194397, max_false: 0.8679552674293518, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.863203763961792, max_false: 0.8746006488800049, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8814786672592163, max_false: 0.8605935573577881, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8702782392501831, max_false: 0.8842054009437561, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8626852035522461, max_false: 0.8470617532730103, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8731775879859924, max_false: 0.890066385269165, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8911924362182617, max_false: 0.8526196479797363, correct: True
