experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8383990526199341, max_false: 0.8894124031066895, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.894008994102478, max_false: 0.8149228096008301, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8421455025672913, max_false: 0.8916847705841064, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8886005282402039, max_false: 0.8012470602989197, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8595003485679626, max_false: 0.8883017897605896, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9068524837493896, max_false: 0.8715028762817383, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8536904454231262, max_false: 0.8645225763320923, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8547458052635193, max_false: 0.8336902856826782, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8834927678108215, max_false: 0.9046817421913147, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8956698179244995, max_false: 0.8719165921211243, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8533645868301392, max_false: 0.8700204491615295, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8836421966552734, max_false: 0.8552815318107605, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8747453689575195, max_false: 0.896395206451416, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.875991940498352, max_false: 0.8539586067199707, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8767940998077393, max_false: 0.8936730027198792, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8939430713653564, max_false: 0.8577032089233398, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.857880711555481, max_false: 0.896115779876709, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8862943649291992, max_false: 0.8406544327735901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.875817596912384, max_false: 0.8938077688217163, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8791772723197937, max_false: 0.8339805603027344, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.848391592502594, max_false: 0.8815239071846008, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8822963237762451, max_false: 0.8409422636032104, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8732302188873291, max_false: 0.8967075943946838, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8677856922149658, max_false: 0.84327632188797, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8599710464477539, max_false: 0.9051011204719543, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8258689045906067, max_false: 0.7906316518783569, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8714615106582642, max_false: 0.9060713648796082, correct: False
