----- test -----
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5505489706993103, max_false: 0.6245648264884949, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7796285152435303, max_false: 0.20578250288963318, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6583900451660156, max_false: -0.05128338187932968, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.77195805311203, max_false: 0.14140786230564117, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.28175532817840576, max_false: 0.6141692996025085, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7737725377082825, max_false: 0.028621960431337357, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6644957065582275, max_false: -0.07803942263126373, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7646898031234741, max_false: 0.1377316415309906, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7719135880470276, max_false: 0.10692914575338364, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5516813397407532, max_false: 0.3610934615135193, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6300536394119263, max_false: -0.022232696413993835, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.430584579706192, max_false: 0.2736454904079437, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.809820830821991, max_false: 0.11235332489013672, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7383074760437012, max_false: -0.0018141131149604917, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6046150326728821, max_false: -0.028077099472284317, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.796230137348175, max_false: 0.04384962096810341, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7366066575050354, max_false: -0.005411373917013407, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.818676769733429, max_false: 0.02609194628894329, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6674864292144775, max_false: -0.15489715337753296, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8562474250793457, max_false: -0.07701165229082108, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3214264512062073, max_false: 0.4307355284690857, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7582044005393982, max_false: 0.04886845871806145, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.667479395866394, max_false: 0.011761268600821495, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7743508219718933, max_false: 0.12868046760559082, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7502197027206421, max_false: 0.2784503102302551, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6632436513900757, max_false: 0.16711021959781647, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6771324276924133, max_false: -0.004270678386092186, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.4347691237926483, max_false: 0.24527962505817413, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.32311829924583435, max_false: 0.02027968131005764, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6561115384101868, max_false: 0.1248447373509407, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.2979394495487213, max_false: 0.32584282755851746, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8569605350494385, max_false: 0.1171189472079277, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8107888102531433, max_false: 0.11927074193954468, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7517614364624023, max_false: -0.029225606471300125, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5951643586158752, max_false: 0.5205758213996887, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7909066081047058, max_false: 0.19497591257095337, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3851519823074341, max_false: -0.026664553210139275, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8029342889785767, max_false: 0.2251710742712021, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7896042466163635, max_false: -0.05280118063092232, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7360497117042542, max_false: 0.20871907472610474, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7328091859817505, max_false: 0.062148429453372955, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7586992979049683, max_false: -0.09389128535985947, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.650286853313446, max_false: -0.04935336485505104, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6889153718948364, max_false: 0.05232696235179901, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8488966822624207, max_false: 0.04125874117016792, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7912408709526062, max_false: 0.005237481091171503, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8620864152908325, max_false: 0.013277476653456688, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.73573237657547, max_false: 0.029752839356660843, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7453429102897644, max_false: 0.009490111842751503, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7669729590415955, max_false: 0.04319249466061592, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7379169464111328, max_false: 0.025607386603951454, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8148131966590881, max_false: 0.09475332498550415, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.23107902705669403, max_false: 0.20563314855098724, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7144313454627991, max_false: 0.15637589991092682, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7173404097557068, max_false: -0.08573871105909348, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7684824466705322, max_false: -0.04390931501984596, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.5904998183250427, max_false: 0.158736452460289, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.811011552810669, max_false: 0.20436030626296997, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8088118433952332, max_false: -0.028883658349514008, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8185297250747681, max_false: -0.021316325291991234, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8242195248603821, max_false: -0.03134102746844292, correct: True
