experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6301761269569397, max_false: 0.5890523791313171, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.745681881904602, max_false: 0.2649589478969574, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6614239811897278, max_false: 0.04313300922513008, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7079573273658752, max_false: 0.16714952886104584, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.35283565521240234, max_false: 0.41997578740119934, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7184498906135559, max_false: 0.0927351862192154, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6695205569267273, max_false: 0.07981400936841965, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7183372974395752, max_false: 0.19287657737731934, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.776829719543457, max_false: 0.24754983186721802, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6270318031311035, max_false: 0.4104754328727722, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6560230851173401, max_false: 0.08233203738927841, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.3308303654193878, max_false: 0.3831217885017395, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7924193739891052, max_false: 0.20875099301338196, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6752854585647583, max_false: 0.0605006217956543, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6440479755401611, max_false: 0.06367737799882889, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7739288210868835, max_false: 0.07021325826644897, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.7424933910369873, max_false: 0.10121014714241028, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.767981231212616, max_false: 0.12577149271965027, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.6601400375366211, max_false: -0.040120694786310196, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8319432735443115, max_false: 0.020534565672278404, correct: True
