experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9082502722740173, max_false: 0.9089862704277039, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9235143065452576, max_false: 0.8485097885131836, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9141787886619568, max_false: 0.9164837598800659, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8906137943267822, max_false: 0.8488900065422058, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8553612232208252, max_false: 0.8449128270149231, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8444939851760864, max_false: 0.8401777148246765, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9251382350921631, max_false: 0.9213135242462158, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.893625795841217, max_false: 0.8712214231491089, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8950564861297607, max_false: 0.9158857464790344, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8883510828018188, max_false: 0.8427398800849915, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.828505277633667, max_false: 0.8391104936599731, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8685730695724487, max_false: 0.8236231803894043, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8105176687240601, max_false: 0.8305513262748718, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.888684868812561, max_false: 0.8983214497566223, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8698186874389648, max_false: 0.8556033372879028, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9189693927764893, max_false: 0.9117901921272278, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198697805404663, max_false: 0.8686085939407349, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.927041232585907, max_false: 0.8508754968643188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9395800828933716, max_false: 0.8947028517723083, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328213334083557, max_false: 0.8649407625198364, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8546509742736816, max_false: 0.8599284291267395, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9440136551856995, max_false: 0.9010180234909058, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8627784848213196, max_false: 0.8574516773223877, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9428831934928894, max_false: 0.8858674764633179, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8944648504257202, max_false: 0.8783433437347412, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8751937747001648, max_false: 0.8347395062446594, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.923505425453186, max_false: 0.9379908442497253, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336223006248474, max_false: 0.8971472978591919, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.917945384979248, max_false: 0.8999205827713013, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8555028438568115, max_false: 0.8238574862480164, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8973774909973145, max_false: 0.8773928880691528, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9308745265007019, max_false: 0.8676559329032898, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9055273532867432, max_false: 0.9249767065048218, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.871604859828949, max_false: 0.8601816296577454, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9111891984939575, max_false: 0.9320061206817627, correct: False
