experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8938391208648682, max_false: 0.8908014893531799, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145728349685669, max_false: 0.8221996426582336, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9038732647895813, max_false: 0.9045422673225403, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8761941194534302, max_false: 0.8254169821739197, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8358637690544128, max_false: 0.8155059814453125, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8171182870864868, max_false: 0.820006787776947, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9174776077270508, max_false: 0.9013621807098389, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8669208884239197, max_false: 0.8415740728378296, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8830248117446899, max_false: 0.9020524621009827, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8635452389717102, max_false: 0.8084772825241089, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8038873076438904, max_false: 0.8083747029304504, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8479122519493103, max_false: 0.8029174208641052, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7944597601890564, max_false: 0.8140295147895813, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8665677309036255, max_false: 0.8849696516990662, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8521614670753479, max_false: 0.8224668502807617, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9006611108779907, max_false: 0.90166836977005, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9135337471961975, max_false: 0.8313028812408447, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198583364486694, max_false: 0.8268973231315613, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341302514076233, max_false: 0.8612731695175171, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9186320304870605, max_false: 0.838300347328186, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8304447531700134, max_false: 0.8350301384925842, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9380399584770203, max_false: 0.8868337273597717, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8503536581993103, max_false: 0.8344192504882812, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9371500015258789, max_false: 0.8684710264205933, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8827780485153198, max_false: 0.855307936668396, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8522844910621643, max_false: 0.8062214255332947, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9155417084693909, max_false: 0.9259088635444641, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.924263060092926, max_false: 0.8821544647216797, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.910914957523346, max_false: 0.8757587671279907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8295249938964844, max_false: 0.7960925102233887, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8896759152412415, max_false: 0.8531720638275146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.920376718044281, max_false: 0.8408829569816589, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8936209678649902, max_false: 0.9109968543052673, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.858163595199585, max_false: 0.8483721017837524, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9024635553359985, max_false: 0.9159770607948303, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8991759419441223, max_false: 0.8743088245391846, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8830322027206421, max_false: 0.9038696885108948, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9059234261512756, max_false: 0.8921022415161133, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9078713059425354, max_false: 0.9113271832466125, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8987002968788147, max_false: 0.8497697710990906, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8824170231819153, max_false: 0.8639914393424988, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8693238496780396, max_false: 0.8529603481292725, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8372267484664917, max_false: 0.8601879477500916, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191591143608093, max_false: 0.9020326137542725, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8779325485229492, max_false: 0.8822611570358276, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.869983434677124, max_false: 0.8506168127059937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9024034142494202, max_false: 0.8809237480163574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8456777334213257, max_false: 0.8240758180618286, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9029603600502014, max_false: 0.8739004731178284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8933701515197754, max_false: 0.8483889698982239, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.849454939365387, max_false: 0.8364465236663818, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8950448632240295, max_false: 0.9108893275260925, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9414629936218262, max_false: 0.9229505658149719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8749818801879883, max_false: 0.8136029839515686, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8880363702774048, max_false: 0.9040071964263916, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8836577534675598, max_false: 0.8606016635894775, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8711919188499451, max_false: 0.8634747266769409, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8335097432136536, max_false: 0.8211554288864136, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8388490676879883, max_false: 0.8459022641181946, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8834986090660095, max_false: 0.8444341421127319, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7282295227050781, max_false: 0.7811805009841919, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9344037771224976, max_false: 0.7994635701179504, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023451209068298, max_false: 0.8951212167739868, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8923704028129578, max_false: 0.8721358180046082, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8663381934165955, max_false: 0.8785229325294495, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8762925267219543, max_false: 0.8531363010406494, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8949873447418213, max_false: 0.885724663734436, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9040963649749756, max_false: 0.8782244920730591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9032949805259705, max_false: 0.9313088059425354, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8237830400466919, max_false: 0.8262568116188049, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9258003234863281, max_false: 0.9064344763755798, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9258114099502563, max_false: 0.8954272866249084, correct: True
