experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9201399087905884, max_false: 0.9263957738876343, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9338311553001404, max_false: 0.8581109642982483, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9350885152816772, max_false: 0.9353317022323608, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9051586389541626, max_false: 0.8650579452514648, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8810148239135742, max_false: 0.8725520372390747, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8814924955368042, max_false: 0.877564549446106, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9302787184715271, max_false: 0.9341764450073242, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9144308567047119, max_false: 0.8878135085105896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9074190855026245, max_false: 0.9323703646659851, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9069109559059143, max_false: 0.8632698655128479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8723224997520447, max_false: 0.8817508220672607, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8905531167984009, max_false: 0.856839120388031, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8298635482788086, max_false: 0.8490796685218811, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9068028926849365, max_false: 0.9110392332077026, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8917192816734314, max_false: 0.8820169568061829, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9325089454650879, max_false: 0.9295970797538757, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9339120984077454, max_false: 0.8939099311828613, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.936046838760376, max_false: 0.870386004447937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9415306448936462, max_false: 0.9124520421028137, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9454704523086548, max_false: 0.8859423398971558, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8799302577972412, max_false: 0.8899573087692261, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9536631107330322, max_false: 0.9146342873573303, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8945462703704834, max_false: 0.8903817534446716, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9578186273574829, max_false: 0.9085222482681274, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9210947751998901, max_false: 0.909035861492157, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.90907883644104, max_false: 0.8756074905395508, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.935837984085083, max_false: 0.9520581960678101, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9445245862007141, max_false: 0.9106320142745972, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.924579918384552, max_false: 0.918877363204956, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8846164345741272, max_false: 0.8505332469940186, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9163287878036499, max_false: 0.9097618460655212, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9508894085884094, max_false: 0.896284818649292, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9240147471427917, max_false: 0.9474604725837708, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8973015546798706, max_false: 0.8783316612243652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9200125336647034, max_false: 0.9441587924957275, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342449903488159, max_false: 0.9025688171386719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198206663131714, max_false: 0.9390237927436829, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343992471694946, max_false: 0.9183300733566284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9227386713027954, max_false: 0.9403002262115479, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.92396080493927, max_false: 0.8841930627822876, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9084410071372986, max_false: 0.901006817817688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9190592765808105, max_false: 0.9030206203460693, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9044880867004395, max_false: 0.9198085069656372, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9473966956138611, max_false: 0.9317659139633179, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9104951620101929, max_false: 0.9187466502189636, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232724905014038, max_false: 0.9034286141395569, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9294692277908325, max_false: 0.923175036907196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8874430060386658, max_false: 0.8683710098266602, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.924346923828125, max_false: 0.9104193449020386, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9286878108978271, max_false: 0.89277583360672, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8845146894454956, max_false: 0.878951907157898, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234905242919922, max_false: 0.9305191040039062, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9434462189674377, max_false: 0.9370557069778442, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9127084016799927, max_false: 0.868313729763031, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.918770432472229, max_false: 0.9359130859375, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9236328601837158, max_false: 0.9014065861701965, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.90108323097229, max_false: 0.8998615145683289, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8764390349388123, max_false: 0.869264543056488, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8977818489074707, max_false: 0.9072577953338623, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9282659888267517, max_false: 0.8966859579086304, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8087295293807983, max_false: 0.8511896729469299, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9470232129096985, max_false: 0.849737286567688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328238368034363, max_false: 0.9316678047180176, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9249032139778137, max_false: 0.9119462966918945, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9058447480201721, max_false: 0.9235204458236694, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9300322532653809, max_false: 0.9036989808082581, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9255262613296509, max_false: 0.9219897985458374, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.931013286113739, max_false: 0.917401134967804, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9270123243331909, max_false: 0.9509866237640381, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8928104043006897, max_false: 0.8853958249092102, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9325077533721924, max_false: 0.9284635782241821, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9533328413963318, max_false: 0.9311215281486511, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9101853966712952, max_false: 0.9307821393013, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9566619992256165, max_false: 0.9239301085472107, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.900769829750061, max_false: 0.9178028106689453, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9417818188667297, max_false: 0.9066796898841858, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9239843487739563, max_false: 0.9414382576942444, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9438367486000061, max_false: 0.9186279773712158, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8943814635276794, max_false: 0.8866456151008606, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.886484682559967, max_false: 0.8980833292007446, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9035664200782776, max_false: 0.8470199704170227, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378863573074341, max_false: 0.904570996761322, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9212576746940613, max_false: 0.9342231750488281, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8896682262420654, max_false: 0.8690647482872009, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147423505783081, max_false: 0.937780499458313, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8938202261924744, max_false: 0.8628388047218323, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9367076754570007, max_false: 0.9325330853462219, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8766840696334839, max_false: 0.8511406779289246, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9175752401351929, max_false: 0.9183918833732605, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9078823924064636, max_false: 0.9045230150222778, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9143334627151489, max_false: 0.9184483885765076, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9488362669944763, max_false: 0.912788987159729, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9325068593025208, max_false: 0.9366123676300049, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9392743110656738, max_false: 0.8972256183624268, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9046052694320679, max_false: 0.8952114582061768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9381160736083984, max_false: 0.9054784178733826, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191699624061584, max_false: 0.9320529103279114, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9374170303344727, max_false: 0.9165747165679932, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.911284863948822, max_false: 0.8789384961128235, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8924826383590698, max_false: 0.9027392864227295, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.906348705291748, max_false: 0.9339778423309326, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9201534986495972, max_false: 0.8756207227706909, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8933396339416504, max_false: 0.8992090225219727, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8972415328025818, max_false: 0.8584892749786377, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8695616126060486, max_false: 0.9155284762382507, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.931259036064148, max_false: 0.8955272436141968, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.923367977142334, max_false: 0.9366850256919861, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8886855244636536, max_false: 0.8625035285949707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9091683626174927, max_false: 0.9286237955093384, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8932709693908691, max_false: 0.8695683479309082, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8520282506942749, max_false: 0.8972876667976379, correct: False
