experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7913089990615845, max_false: 0.785887598991394, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.849214494228363, max_false: 0.5897451639175415, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8127890825271606, max_false: 0.8685932159423828, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8243566155433655, max_false: 0.6617595553398132, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7775554656982422, max_false: 0.7107999324798584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7406890988349915, max_false: 0.7470878958702087, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8825623393058777, max_false: 0.8082770109176636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7119113206863403, max_false: 0.6353832483291626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8407912254333496, max_false: 0.8435738682746887, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7376288175582886, max_false: 0.635209321975708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7202097773551941, max_false: 0.7706742882728577, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7974456548690796, max_false: 0.7228862047195435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7442027926445007, max_false: 0.6992863416671753, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7711182832717896, max_false: 0.8234399557113647, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7996273636817932, max_false: 0.6742844581604004, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8142886161804199, max_false: 0.8293425440788269, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8994014859199524, max_false: 0.6890577077865601, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8815043568611145, max_false: 0.6929715275764465, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.846794843673706, max_false: 0.6506993770599365, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8540551066398621, max_false: 0.6011973023414612, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7130759358406067, max_false: 0.7393897175788879, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8868310451507568, max_false: 0.7697250247001648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8190380334854126, max_false: 0.7885792255401611, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8925684094429016, max_false: 0.722511887550354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8656254410743713, max_false: 0.7919074296951294, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8155201077461243, max_false: 0.6349400281906128, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8453078866004944, max_false: 0.8494062423706055, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8745198249816895, max_false: 0.762600302696228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8597285151481628, max_false: 0.7344873547554016, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7988799214363098, max_false: 0.6786811351776123, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8615105152130127, max_false: 0.74209064245224, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8667877912521362, max_false: 0.6566370129585266, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8438707590103149, max_false: 0.8288129568099976, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8106794357299805, max_false: 0.7872048616409302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8633344769477844, max_false: 0.8023064136505127, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8019590377807617, max_false: 0.7749090194702148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7586512565612793, max_false: 0.7898989915847778, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8539717793464661, max_false: 0.8348731398582458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8923055529594421, max_false: 0.8071750402450562, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8576914072036743, max_false: 0.7381523847579956, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8213622570037842, max_false: 0.7901469469070435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.81955486536026, max_false: 0.771186888217926, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7482646107673645, max_false: 0.7845571637153625, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8429145216941833, max_false: 0.824303388595581, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8167009949684143, max_false: 0.8184553980827332, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8095906972885132, max_false: 0.763840913772583, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.872992992401123, max_false: 0.7826824188232422, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7483165860176086, max_false: 0.6596361398696899, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8562818169593811, max_false: 0.8291770219802856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8773072361946106, max_false: 0.7148131728172302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.807153582572937, max_false: 0.780306875705719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8263244032859802, max_false: 0.8790664076805115, correct: False
