experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8241546750068665, max_false: 0.828619122505188, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8311067819595337, max_false: 0.618473470211029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8009144067764282, max_false: 0.8621117472648621, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8181737065315247, max_false: 0.579803466796875, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7782564759254456, max_false: 0.6906402111053467, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7510573267936707, max_false: 0.7639310956001282, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9040940999984741, max_false: 0.8117245435714722, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.761330246925354, max_false: 0.6315054893493652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8665677309036255, max_false: 0.8492194414138794, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8389877676963806, max_false: 0.7327234148979187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7242904901504517, max_false: 0.8067307472229004, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7927282452583313, max_false: 0.729958176612854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.75416499376297, max_false: 0.687727689743042, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7707814574241638, max_false: 0.8583513498306274, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8227157592773438, max_false: 0.6686130166053772, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8444848656654358, max_false: 0.8248699307441711, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.906777560710907, max_false: 0.739115834236145, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8742071390151978, max_false: 0.7229808568954468, correct: True
