experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7876622080802917, max_false: 0.7888803482055664, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8112860918045044, max_false: 0.5785670876502991, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7835496068000793, max_false: 0.8578289151191711, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7913698554039001, max_false: 0.5082626938819885, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7858452796936035, max_false: 0.6141875386238098, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7510141134262085, max_false: 0.731022834777832, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9032493233680725, max_false: 0.7716026902198792, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6668325662612915, max_false: 0.5159807205200195, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8708735108375549, max_false: 0.8237845301628113, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8140393495559692, max_false: 0.6863811016082764, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7276423573493958, max_false: 0.8113045692443848, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7976442575454712, max_false: 0.7706565260887146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7078858613967896, max_false: 0.6255746483802795, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7453195452690125, max_false: 0.8544059991836548, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8408365249633789, max_false: 0.6415950655937195, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8204967379570007, max_false: 0.8194067478179932, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9022258520126343, max_false: 0.7055490016937256, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8687965869903564, max_false: 0.6754192113876343, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8873211145401001, max_false: 0.6608631014823914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8431165814399719, max_false: 0.5212013721466064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7707574963569641, max_false: 0.7647987008094788, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8862885236740112, max_false: 0.7890050411224365, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8297361135482788, max_false: 0.8066362738609314, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8205753564834595, max_false: 0.571077823638916, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8831019997596741, max_false: 0.7592089772224426, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8380233645439148, max_false: 0.6249939799308777, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8364536166191101, max_false: 0.8129148483276367, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8139198422431946, max_false: 0.7272891998291016, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.880182683467865, max_false: 0.6765388250350952, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7870737314224243, max_false: 0.651748776435852, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8725424408912659, max_false: 0.6900903582572937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8375958204269409, max_false: 0.581902027130127, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8407453298568726, max_false: 0.7805047631263733, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8280561566352844, max_false: 0.7865657210350037, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8738338351249695, max_false: 0.770725429058075, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7594988942146301, max_false: 0.7773791551589966, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7150893807411194, max_false: 0.7274882197380066, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8203127980232239, max_false: 0.8378883004188538, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9131565093994141, max_false: 0.7553528547286987, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8216081857681274, max_false: 0.7454571723937988, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8051010370254517, max_false: 0.7538341879844666, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8398968577384949, max_false: 0.7839530110359192, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7391182780265808, max_false: 0.80349200963974, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8374370336532593, max_false: 0.8480867743492126, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8070641160011292, max_false: 0.7835946083068848, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8529954552650452, max_false: 0.7786221504211426, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8703497648239136, max_false: 0.7453536987304688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7141674160957336, max_false: 0.6428085565567017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8806968927383423, max_false: 0.7839741706848145, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8901814818382263, max_false: 0.6778419017791748, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8452715873718262, max_false: 0.7720662355422974, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8008829951286316, max_false: 0.8477610945701599, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9168084859848022, max_false: 0.8203573822975159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8342346549034119, max_false: 0.7167604565620422, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8093335032463074, max_false: 0.8444227576255798, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7716265916824341, max_false: 0.6748009920120239, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8353220224380493, max_false: 0.7258405685424805, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7764893174171448, max_false: 0.659805178642273, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7560067176818848, max_false: 0.8155032992362976, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8522676825523376, max_false: 0.8171009421348572, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6737027764320374, max_false: 0.7347176671028137, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8922924399375916, max_false: 0.6857463121414185, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8671738505363464, max_false: 0.8170061111450195, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8552874326705933, max_false: 0.8610239624977112, correct: False
