experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.79777592420578, max_false: 0.7800038456916809, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8010882139205933, max_false: 0.5429273843765259, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7816014885902405, max_false: 0.8535791039466858, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7920023798942566, max_false: 0.5136269330978394, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7692897319793701, max_false: 0.5822560787200928, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7567514181137085, max_false: 0.7254052758216858, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9049526453018188, max_false: 0.777398407459259, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6793246865272522, max_false: 0.5315843820571899, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8737759590148926, max_false: 0.8293821811676025, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.815872311592102, max_false: 0.6836920976638794, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.716780960559845, max_false: 0.8144057393074036, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8112282156944275, max_false: 0.7715379595756531, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6924965381622314, max_false: 0.6052720546722412, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7439548373222351, max_false: 0.8539789915084839, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8564335107803345, max_false: 0.6289905905723572, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7892103791236877, max_false: 0.8125107288360596, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9141090512275696, max_false: 0.7087780833244324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.876331090927124, max_false: 0.6567939519882202, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8872657418251038, max_false: 0.6874991059303284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8340152502059937, max_false: 0.5107516646385193, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7739418148994446, max_false: 0.7815707325935364, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8968167901039124, max_false: 0.7959980964660645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8305386304855347, max_false: 0.8014732599258423, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8445281386375427, max_false: 0.5739065408706665, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8750993013381958, max_false: 0.7630747556686401, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8346068859100342, max_false: 0.6219858527183533, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8433055281639099, max_false: 0.8014094233512878, correct: True
