experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6682063341140747, max_false: 0.6190301775932312, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.710138738155365, max_false: 0.3072921335697174, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6987764239311218, max_false: 0.808617889881134, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7001048922538757, max_false: 0.296511709690094, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.706637978553772, max_false: 0.466018944978714, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6006303429603577, max_false: 0.5807478427886963, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8640502691268921, max_false: 0.6293749213218689, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5601866245269775, max_false: 0.39809107780456543, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8043643236160278, max_false: 0.7264304161071777, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7074760794639587, max_false: 0.38998866081237793, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5959599018096924, max_false: 0.7017089128494263, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7239037156105042, max_false: 0.7054585814476013, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6741353869438171, max_false: 0.4020988345146179, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5539970397949219, max_false: 0.7534127831459045, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7605761289596558, max_false: 0.3602374494075775, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6485176086425781, max_false: 0.7215917110443115, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9039348363876343, max_false: 0.56102055311203, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8208089470863342, max_false: 0.47629353404045105, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8919938802719116, max_false: 0.4506998658180237, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7509133219718933, max_false: 0.31810590624809265, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6692368984222412, max_false: 0.6854661703109741, correct: False
