experiment run details:
  dataset: hoi
  model: phi openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9467349648475647, max_false: 0.9532569646835327, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9543499946594238, max_false: 0.9064235687255859, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9564904570579529, max_false: 0.9586442112922668, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9392205476760864, max_false: 0.909139096736908, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9066188931465149, max_false: 0.9074430465698242, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9098251461982727, max_false: 0.9025040864944458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9571468830108643, max_false: 0.9585379362106323, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9491638541221619, max_false: 0.9301543831825256, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9457375407218933, max_false: 0.9595949053764343, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9468955993652344, max_false: 0.9211954474449158, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9140461683273315, max_false: 0.9226303100585938, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9302388429641724, max_false: 0.9024624824523926, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8556919693946838, max_false: 0.8823352456092834, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9369391798973083, max_false: 0.9420660138130188, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9171569347381592, max_false: 0.9137490391731262, correct: True
