experiment run details:
  dataset: hoi
  model: phi openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9481189846992493, max_false: 0.9559692740440369, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9561519622802734, max_false: 0.9105400443077087, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.948743462562561, max_false: 0.9524468183517456, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347794651985168, max_false: 0.9029605984687805, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9050348401069641, max_false: 0.9070130586624146, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.904970645904541, max_false: 0.8961694836616516, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9513748288154602, max_false: 0.9544972777366638, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9503634572029114, max_false: 0.9329856634140015, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496038556098938, max_false: 0.9597243666648865, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9491792321205139, max_false: 0.9254264235496521, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9108632206916809, max_false: 0.9176441431045532, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9340709447860718, max_false: 0.9105743765830994, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.852150559425354, max_false: 0.8813957571983337, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349104166030884, max_false: 0.9369293451309204, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9156509637832642, max_false: 0.9117705225944519, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9529587030410767, max_false: 0.951521098613739, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.951737642288208, max_false: 0.9351723194122314, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9518608450889587, max_false: 0.9030447602272034, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9688083529472351, max_false: 0.9501644372940063, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9669710993766785, max_false: 0.9366839528083801, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.925131618976593, max_false: 0.9219997525215149, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9675837159156799, max_false: 0.9423761367797852, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9164952635765076, max_false: 0.922065258026123, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.974173367023468, max_false: 0.9381760358810425, correct: True
