experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9193582534790039, max_false: 0.9302794337272644, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.932540774345398, max_false: 0.8616451621055603, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349589347839355, max_false: 0.9340659976005554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9146451950073242, max_false: 0.8787311315536499, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8599343299865723, max_false: 0.860263466835022, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8784937858581543, max_false: 0.8727880716323853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9236489534378052, max_false: 0.9309998154640198, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232569932937622, max_false: 0.8976865410804749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9139589667320251, max_false: 0.9376539587974548, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9183250665664673, max_false: 0.8811253905296326, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8742867112159729, max_false: 0.8850425481796265, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8982122540473938, max_false: 0.8641487956047058, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8379128575325012, max_false: 0.8606704473495483, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.913712203502655, max_false: 0.9127626419067383, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8914504647254944, max_false: 0.8794735670089722, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312615394592285, max_false: 0.9297513961791992, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9355373382568359, max_false: 0.9058120846748352, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.936601996421814, max_false: 0.8713940382003784, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404468536376953, max_false: 0.9203004837036133, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9478645920753479, max_false: 0.895361602306366, correct: True
