experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9281681180000305, max_false: 0.9320626258850098, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9366685748100281, max_false: 0.877415657043457, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9290427565574646, max_false: 0.9280571341514587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119336009025574, max_false: 0.8813006281852722, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8680129647254944, max_false: 0.8637924790382385, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8698119521141052, max_false: 0.8659031391143799, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9332699775695801, max_false: 0.9339239597320557, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9206058382987976, max_false: 0.9019494652748108, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9228834509849548, max_false: 0.9376220703125, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9194467067718506, max_false: 0.8896727561950684, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8679581880569458, max_false: 0.8773643374443054, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8989061713218689, max_false: 0.8626186847686768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8390789031982422, max_false: 0.8581081032752991, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9134827256202698, max_false: 0.9172588586807251, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8895366191864014, max_false: 0.8776485919952393, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9322556257247925, max_false: 0.9303435683250427, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9326732754707336, max_false: 0.902945339679718, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9350051283836365, max_false: 0.8695945739746094, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9478653073310852, max_false: 0.9227340817451477, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9481245875358582, max_false: 0.8980792164802551, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8875342607498169, max_false: 0.8905091881752014, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.952890157699585, max_false: 0.9156395792961121, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8918418288230896, max_false: 0.8893206119537354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9598642587661743, max_false: 0.9167695045471191, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9126142263412476, max_false: 0.900558352470398, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9048854112625122, max_false: 0.8778859972953796, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328041672706604, max_false: 0.9507526159286499, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9422274827957153, max_false: 0.9121731519699097, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.913861870765686, max_false: 0.910652220249176, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.883120596408844, max_false: 0.8551934957504272, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9129536747932434, max_false: 0.908065140247345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9440712332725525, max_false: 0.9017568826675415, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9263180494308472, max_false: 0.9462022185325623, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9015768766403198, max_false: 0.8849217891693115, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9251505732536316, max_false: 0.9486573934555054, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336368441581726, max_false: 0.9068660736083984, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9228383302688599, max_false: 0.9399217367172241, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9392029047012329, max_false: 0.9224725961685181, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.924822211265564, max_false: 0.9367589950561523, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312191009521484, max_false: 0.8991349339485168, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9190560579299927, max_false: 0.9072768688201904, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9071784019470215, max_false: 0.8906492590904236, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9056514501571655, max_false: 0.9178560376167297, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949385404586792, max_false: 0.9356647729873657, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9090695381164551, max_false: 0.9193806052207947, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9160927534103394, max_false: 0.8925991654396057, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9243482947349548, max_false: 0.9156708717346191, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8888838291168213, max_false: 0.8843822479248047, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9262417554855347, max_false: 0.908672034740448, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9240251183509827, max_false: 0.8936648368835449, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8971290588378906, max_false: 0.8919116854667664, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9279853105545044, max_false: 0.93666672706604, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9406439661979675, max_false: 0.9423545598983765, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9111694693565369, max_false: 0.8658527731895447, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9192376732826233, max_false: 0.9304174780845642, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9253599643707275, max_false: 0.9084791541099548, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9038750529289246, max_false: 0.9132155776023865, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8847349882125854, max_false: 0.8699102401733398, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8800749182701111, max_false: 0.8906005620956421, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9265842437744141, max_false: 0.8949790000915527, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7951899766921997, max_false: 0.8417861461639404, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9527193903923035, max_false: 0.8610841035842896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9271937608718872, max_false: 0.9344224333763123, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.926674485206604, max_false: 0.9085158109664917, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8959559202194214, max_false: 0.9129003882408142, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.934333324432373, max_false: 0.9135557413101196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234970211982727, max_false: 0.9251835942268372, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287543296813965, max_false: 0.9214413166046143, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347734451293945, max_false: 0.951095461845398, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8838098645210266, max_false: 0.8769713044166565, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9355027675628662, max_false: 0.9309792518615723, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9458402395248413, max_false: 0.9179689884185791, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9106396436691284, max_false: 0.925675630569458, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9542340040206909, max_false: 0.9296671152114868, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8928967118263245, max_false: 0.9098707437515259, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9360365271568298, max_false: 0.9092565774917603, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234589338302612, max_false: 0.9408995509147644, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9345627427101135, max_false: 0.9079108238220215, correct: True
