experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182310700416565, max_false: 0.8874339461326599, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8414039015769958, max_false: 0.7365317940711975, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9370405077934265, max_false: 0.8983449935913086, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8779492378234863, max_false: 0.8304216861724854, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8244379758834839, max_false: 0.7811546325683594, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8478946685791016, max_false: 0.8526467084884644, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947296679019928, max_false: 0.9100913405418396, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8980600833892822, max_false: 0.876684308052063, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158385992050171, max_false: 0.9044484496116638, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170485138893127, max_false: 0.8960220217704773, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8563362956047058, max_false: 0.8520252108573914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8742252588272095, max_false: 0.8426547050476074, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7957392334938049, max_false: 0.8111475110054016, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8809577822685242, max_false: 0.8851030468940735, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.864912748336792, max_false: 0.8465628027915955, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.903102457523346, max_false: 0.90796959400177, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232414960861206, max_false: 0.8969122171401978, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9232178926467896, max_false: 0.8639360070228577, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495123624801636, max_false: 0.8800773024559021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9216474294662476, max_false: 0.896327018737793, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8783667683601379, max_false: 0.8371972441673279, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9375876188278198, max_false: 0.8923375606536865, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154708981513977, max_false: 0.8768987655639648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9323649406433105, max_false: 0.8522910475730896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9047967791557312, max_false: 0.8265650272369385, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.880430281162262, max_false: 0.8198957443237305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.939949631690979, max_false: 0.9347511529922485, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9060778617858887, max_false: 0.8882262110710144, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9203672409057617, max_false: 0.9075849056243896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.814417839050293, max_false: 0.7859450578689575, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9277854561805725, max_false: 0.8821098804473877, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.942064642906189, max_false: 0.9137743711471558, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9404470920562744, max_false: 0.9139779806137085, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7682228088378906, max_false: 0.7901756763458252, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.923912525177002, max_false: 0.9095419645309448, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9053389430046082, max_false: 0.8988662958145142, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9102586507797241, max_false: 0.8956406116485596, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8960607051849365, max_false: 0.9030373692512512, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9405624866485596, max_false: 0.9365783929824829, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8941093683242798, max_false: 0.8524969220161438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8695772886276245, max_false: 0.8522854447364807, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8711550235748291, max_false: 0.8588230609893799, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9147615432739258, max_false: 0.8962422013282776, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9311445355415344, max_false: 0.9421662092208862, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9074770212173462, max_false: 0.8739368319511414, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.924574077129364, max_false: 0.9310624599456787, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9031707048416138, max_false: 0.8939027190208435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8262574076652527, max_false: 0.8152923583984375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9214521050453186, max_false: 0.8333836197853088, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9120846390724182, max_false: 0.8596500158309937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8429047465324402, max_false: 0.8076898455619812, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8926135301589966, max_false: 0.9309839606285095, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9646150469779968, max_false: 0.906730055809021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8632749319076538, max_false: 0.8139711618423462, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9218475222587585, max_false: 0.9186561703681946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8696110248565674, max_false: 0.8549342751502991, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8937717080116272, max_false: 0.8607005476951599, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8432031869888306, max_false: 0.8567328453063965, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8887494802474976, max_false: 0.8766481280326843, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9301499724388123, max_false: 0.9380764961242676, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.812548041343689, max_false: 0.8494114875793457, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471533298492432, max_false: 0.8087161779403687, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9315112829208374, max_false: 0.9186350107192993, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9159433841705322, max_false: 0.9053923487663269, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8808674812316895, max_false: 0.9123969078063965, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8961643576622009, max_false: 0.8798152804374695, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9138135313987732, max_false: 0.897916316986084, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8473352193832397, max_false: 0.8819071054458618, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9093471169471741, max_false: 0.901593804359436, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7915487885475159, max_false: 0.8248894214630127, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158036112785339, max_false: 0.9052296280860901, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.917330265045166, max_false: 0.8829705715179443, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9085341095924377, max_false: 0.8890963792800903, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9319319128990173, max_false: 0.9314057230949402, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8947315216064453, max_false: 0.8902870416641235, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.892996072769165, max_false: 0.8449403047561646, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.916765034198761, max_false: 0.9191932678222656, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9410809278488159, max_false: 0.9224828481674194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8515350818634033, max_false: 0.7978029251098633, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8364787697792053, max_false: 0.8993366360664368, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9315912127494812, max_false: 0.8511353135108948, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8990334868431091, max_false: 0.8911334872245789, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8889703154563904, max_false: 0.8876861333847046, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8927230834960938, max_false: 0.8728424906730652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9144647121429443, max_false: 0.8994185924530029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9218236804008484, max_false: 0.8492526412010193, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9259060025215149, max_false: 0.8665816187858582, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8479163646697998, max_false: 0.7919746041297913, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9043416380882263, max_false: 0.8837670683860779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8802232146263123, max_false: 0.8924329280853271, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9280323386192322, max_false: 0.8832358717918396, correct: True
