experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9186655879020691, max_false: 0.8886526226997375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8428534865379333, max_false: 0.7385101318359375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379719495773315, max_false: 0.8996852040290833, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8792984485626221, max_false: 0.8315484523773193, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8261439204216003, max_false: 0.78227698802948, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8485480546951294, max_false: 0.8534790873527527, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9478554725646973, max_false: 0.9105923771858215, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8989565372467041, max_false: 0.8773428201675415, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.916560173034668, max_false: 0.9055410623550415, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9175297617912292, max_false: 0.8967539072036743, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8584234714508057, max_false: 0.853959321975708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8753327131271362, max_false: 0.8435853719711304, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7969915866851807, max_false: 0.8119766712188721, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8819546699523926, max_false: 0.8856178522109985, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8644976615905762, max_false: 0.846190869808197, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9034025073051453, max_false: 0.9085091948509216, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9230683445930481, max_false: 0.896572470664978, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9242661595344543, max_false: 0.8665032386779785, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9501453638076782, max_false: 0.8810461759567261, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9223583936691284, max_false: 0.8968701362609863, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8799293637275696, max_false: 0.8390105962753296, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.938713014125824, max_false: 0.8936790823936462, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158853888511658, max_false: 0.8776991963386536, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9318994879722595, max_false: 0.8538618087768555, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9056721925735474, max_false: 0.8285097479820251, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.881497859954834, max_false: 0.8219678997993469, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.94101881980896, max_false: 0.9360255002975464, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9070971608161926, max_false: 0.8905448913574219, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9214861392974854, max_false: 0.9085193872451782, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8173781037330627, max_false: 0.7882245779037476, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9288603067398071, max_false: 0.8832331299781799, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9426971673965454, max_false: 0.9149718284606934, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9412540197372437, max_false: 0.9154049158096313, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7688801288604736, max_false: 0.7903500199317932, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241490960121155, max_false: 0.9115806818008423, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.906834602355957, max_false: 0.9005489945411682, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.911835253238678, max_false: 0.8976745009422302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8980880975723267, max_false: 0.9049859642982483, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9408502578735352, max_false: 0.9368725419044495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8948186635971069, max_false: 0.8536341190338135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8712592124938965, max_false: 0.8539537787437439, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8724472522735596, max_false: 0.8604711294174194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154847860336304, max_false: 0.897275447845459, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9323136210441589, max_false: 0.9430879950523376, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.90803062915802, max_false: 0.8749660849571228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9254074692726135, max_false: 0.9315638542175293, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9030274748802185, max_false: 0.8945202827453613, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8260828852653503, max_false: 0.815567672252655, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9217509031295776, max_false: 0.8348038792610168, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9132610559463501, max_false: 0.8614048957824707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8452689051628113, max_false: 0.8107595443725586, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.89338219165802, max_false: 0.9321384429931641, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9654483795166016, max_false: 0.907644510269165, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8653742671012878, max_false: 0.8170081377029419, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9228224754333496, max_false: 0.9197046756744385, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8726685643196106, max_false: 0.857804536819458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8958777785301208, max_false: 0.8621164560317993, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8462059497833252, max_false: 0.8601168394088745, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.889689028263092, max_false: 0.8773311376571655, correct: True
