experiment run details:
  dataset: hoi
  model: phi openworld postfix
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9409807920455933, max_false: 0.9452579617500305, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.94881671667099, max_false: 0.8950620293617249, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9515636563301086, max_false: 0.9516641497612, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9318825006484985, max_false: 0.9014434218406677, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8979088068008423, max_false: 0.8914945125579834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8992931842803955, max_false: 0.8985028266906738, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9529902338981628, max_false: 0.9513334631919861, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9387491941452026, max_false: 0.9203740954399109, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9356337189674377, max_false: 0.9516663551330566, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9384499788284302, max_false: 0.9120497703552246, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023511409759521, max_false: 0.9105200171470642, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9225062727928162, max_false: 0.8956497311592102, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8567872047424316, max_false: 0.8750763535499573, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9317713975906372, max_false: 0.9368610978126526, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9145944118499756, max_false: 0.9046204686164856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.942554771900177, max_false: 0.9445021748542786, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9518492221832275, max_false: 0.9271104335784912, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9507821798324585, max_false: 0.9046542048454285, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9601537585258484, max_false: 0.9357940554618835, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9596077799797058, max_false: 0.9271897673606873, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9088078737258911, max_false: 0.9096582531929016, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9624969363212585, max_false: 0.9347110986709595, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202913045883179, max_false: 0.913834273815155, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9692956209182739, max_false: 0.9359735250473022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9377286434173584, max_false: 0.9264389276504517, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9302408695220947, max_false: 0.9091172218322754, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9480228424072266, max_false: 0.9648330211639404, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9560453295707703, max_false: 0.9311537146568298, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9353907108306885, max_false: 0.9339004755020142, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9113966822624207, max_false: 0.8973502516746521, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9395652413368225, max_false: 0.9359419345855713, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9622762203216553, max_false: 0.9292550086975098, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.95094233751297, max_false: 0.965151309967041, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9280334115028381, max_false: 0.9156787395477295, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9415396451950073, max_false: 0.9592828750610352, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9506884217262268, max_false: 0.9290496706962585, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.941775918006897, max_false: 0.9570028781890869, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9571102857589722, max_false: 0.944006085395813, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9367467761039734, max_false: 0.9521961808204651, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9430752992630005, max_false: 0.9140516519546509, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9376161694526672, max_false: 0.9305195212364197, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9353210926055908, max_false: 0.9237944483757019, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929455578327179, max_false: 0.9368337988853455, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9609422087669373, max_false: 0.9531955122947693, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9289774894714355, max_false: 0.9377357959747314, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9420158863067627, max_false: 0.9237993359565735, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9463475942611694, max_false: 0.9440301656723022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9166891574859619, max_false: 0.9117875099182129, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9437628388404846, max_false: 0.9328174591064453, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495095014572144, max_false: 0.9223206639289856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9242420792579651, max_false: 0.9176561832427979, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9439876079559326, max_false: 0.9529753923416138, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9581128358840942, max_false: 0.9545302987098694, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9334430694580078, max_false: 0.9009327292442322, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9388805627822876, max_false: 0.9491639733314514, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9451209902763367, max_false: 0.9324245452880859, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9273235201835632, max_false: 0.9321637153625488, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.914855420589447, max_false: 0.9070932865142822, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9165418744087219, max_false: 0.921713650226593, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947518527507782, max_false: 0.9270151257514954, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8380197286605835, max_false: 0.8735266923904419, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9657313823699951, max_false: 0.8938795328140259, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9488694667816162, max_false: 0.952171266078949, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9453501105308533, max_false: 0.9344391822814941, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9251222014427185, max_false: 0.9386784434318542, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9503999948501587, max_false: 0.9319629073143005, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9481397867202759, max_false: 0.9491800665855408, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.951915442943573, max_false: 0.9423525333404541, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9444301724433899, max_false: 0.9612814784049988, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9168272018432617, max_false: 0.9080615043640137, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9515249133110046, max_false: 0.947668731212616, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9625109434127808, max_false: 0.9408919811248779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9346359372138977, max_false: 0.9418225288391113, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9655154347419739, max_false: 0.948878824710846, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9179739952087402, max_false: 0.9334145188331604, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9517589807510376, max_false: 0.9268039464950562, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9416598677635193, max_false: 0.9554996490478516, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9567995667457581, max_false: 0.9359037280082703, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9279117584228516, max_false: 0.9167473316192627, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191389679908752, max_false: 0.9297729730606079, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9233821034431458, max_false: 0.8777332901954651, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9505243301391602, max_false: 0.9249836206436157, correct: True
