experiment run details:
  dataset: hoi
  model: phi openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8575792908668518, max_false: 0.6450621485710144, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9295741319656372, max_false: 0.2670768201351166, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9374248385429382, max_false: 0.7000474333763123, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8632411360740662, max_false: 0.7274453043937683, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9083282947540283, max_false: 0.2917965054512024, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8692758083343506, max_false: 0.41286641359329224, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.965522289276123, max_false: 0.46865957975387573, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8345418572425842, max_false: 0.14343148469924927, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9370771050453186, max_false: 0.6292880177497864, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9168601036071777, max_false: 0.6274765729904175, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6900408864021301, max_false: 0.8229488730430603, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8814873695373535, max_false: 0.5113855004310608, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6520516872406006, max_false: 0.8039250373840332, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5816327333450317, max_false: 0.9439783096313477, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8907043933868408, max_false: 0.3593820333480835, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.3406026065349579, max_false: 0.8875380754470825, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9428237676620483, max_false: 0.5827221870422363, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.913539707660675, max_false: 0.5389503240585327, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9741477370262146, max_false: 0.296933650970459, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9276894330978394, max_false: 0.5081954002380371, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7053738236427307, max_false: 0.8832318186759949, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9272698760032654, max_false: 0.8319855332374573, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6767303347587585, max_false: 0.8808184266090393, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9362690448760986, max_false: 0.7533164024353027, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496416449546814, max_false: 0.6045376658439636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.822176456451416, max_false: 0.7977288365364075, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9525430202484131, max_false: 0.6529031991958618, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8883476853370667, max_false: 0.7441087961196899, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9541102051734924, max_false: 0.431758314371109, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8803326487541199, max_false: 0.3251074552536011, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8503074049949646, max_false: 0.20521211624145508, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7542126774787903, max_false: 0.8982370495796204, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.903716504573822, max_false: 0.7987234592437744, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8862247467041016, max_false: 0.6279066801071167, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9414222240447998, max_false: 0.62296462059021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6838042140007019, max_false: 0.9188522100448608, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9544669389724731, max_false: 0.43855205178260803, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.49806448817253113, max_false: 0.9494855403900146, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9545472860336304, max_false: 0.4796428978443146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8937205076217651, max_false: 0.6640321612358093, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9221506118774414, max_false: 0.7942735552787781, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8990791440010071, max_false: 0.8084827661514282, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7260147929191589, max_false: 0.8647289276123047, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7808405160903931, max_false: 0.8976072072982788, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7800875306129456, max_false: 0.8725913763046265, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5152435898780823, max_false: 0.9198939204216003, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9593604207038879, max_false: 0.5854673385620117, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8715633749961853, max_false: 0.46602657437324524, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9643149375915527, max_false: 0.5173825621604919, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9255492687225342, max_false: 0.6065181493759155, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5739643573760986, max_false: 0.8831847906112671, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6584995985031128, max_false: 0.9515327215194702, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9580703973770142, max_false: 0.2552168667316437, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9087727665901184, max_false: 0.23717676103115082, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9083126783370972, max_false: 0.6748474836349487, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8802413940429688, max_false: 0.8541779518127441, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8923734426498413, max_false: 0.6231433749198914, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.652957022190094, max_false: 0.8394579887390137, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8831639885902405, max_false: 0.3799014389514923, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7803543210029602, max_false: 0.8976020216941833, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.687049388885498, max_false: 0.7945877313613892, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9510040283203125, max_false: 0.5462692379951477, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9472433924674988, max_false: 0.34340792894363403, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6989992260932922, max_false: 0.8781550526618958, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7582246661186218, max_false: 0.8808143138885498, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9254468679428101, max_false: 0.4838487207889557, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9575479626655579, max_false: 0.7749224305152893, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182239174842834, max_false: 0.6176391243934631, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.951116681098938, max_false: 0.6865084171295166, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8660156726837158, max_false: 0.4290902316570282, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7617864608764648, max_false: 0.870929479598999, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7940841317176819, max_false: 0.8795022964477539, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6511619687080383, max_false: 0.9212828278541565, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8201371431350708, max_false: 0.9133169054985046, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9432359933853149, max_false: 0.5418647527694702, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287708401679993, max_false: 0.4806455969810486, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9389582276344299, max_false: 0.713312566280365, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8222964406013489, max_false: 0.8952926397323608, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7589364647865295, max_false: 0.8837756514549255, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8752004504203796, max_false: 0.7008737325668335, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.882330596446991, max_false: 0.808083176612854, correct: True
