experiment run details:
  dataset: hoi
  model: phi openworld full
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.936802327632904, max_false: 0.5436205267906189, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8718169331550598, max_false: 0.6427664160728455, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9497926235198975, max_false: 0.6908286809921265, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7633758783340454, max_false: 0.885205864906311, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8219663500785828, max_false: 0.19147685170173645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8675117492675781, max_false: 0.5828643441200256, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9636978507041931, max_false: 0.5261332392692566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8641565442085266, max_false: 0.32543858885765076, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9266846179962158, max_false: 0.5904778838157654, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8758406639099121, max_false: 0.8449312448501587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.83225417137146, max_false: 0.7393763065338135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8555986881256104, max_false: 0.6836897730827332, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6835858225822449, max_false: 0.8013610243797302, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.62319016456604, max_false: 0.9350197315216064, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7893704771995544, max_false: 0.2592039406299591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.29841336607933044, max_false: 0.816801905632019, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9579565525054932, max_false: 0.5389667749404907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8848196864128113, max_false: 0.6404256820678711, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.97420734167099, max_false: 0.2511224150657654, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9019852876663208, max_false: 0.5943361520767212, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8449144959449768, max_false: 0.8636389970779419, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8804218769073486, max_false: 0.9105333089828491, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.734025239944458, max_false: 0.876960039138794, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8685141801834106, max_false: 0.8944357633590698, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9469467997550964, max_false: 0.6147155165672302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7520219683647156, max_false: 0.8904502391815186, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9582138061523438, max_false: 0.6905043125152588, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8751792907714844, max_false: 0.8460335731506348, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9467167258262634, max_false: 0.4671940505504608, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8652244806289673, max_false: 0.4861716330051422, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7972902059555054, max_false: 0.24568554759025574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6953545212745667, max_false: 0.9236750602722168, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9537621140480042, max_false: 0.6795559525489807, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8541979789733887, max_false: 0.7621739506721497, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.956678569316864, max_false: 0.6051444411277771, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.636904239654541, max_false: 0.9399300217628479, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9490125179290771, max_false: 0.5905397534370422, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.46841615438461304, max_false: 0.9437974691390991, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9446828961372375, max_false: 0.4521898329257965, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8514851331710815, max_false: 0.8193634748458862, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9335073828697205, max_false: 0.7158710956573486, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8805043697357178, max_false: 0.8756235241889954, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8458899259567261, max_false: 0.8302993178367615, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7014183402061462, max_false: 0.9541952013969421, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8993111848831177, max_false: 0.8294126987457275, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4473723769187927, max_false: 0.8425769209861755, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.951768159866333, max_false: 0.675649106502533, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8813128471374512, max_false: 0.58243727684021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9576228260993958, max_false: 0.4937257766723633, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9054701924324036, max_false: 0.724123477935791, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8224398493766785, max_false: 0.8582611083984375, correct: False
