experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6782736778259277, max_false: 0.6748536825180054, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8334032297134399, max_false: 0.3272736370563507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.861351728439331, max_false: 0.6973556280136108, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8656207323074341, max_false: 0.38109222054481506, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7852451205253601, max_false: 0.5784342885017395, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7049620151519775, max_false: 0.331005334854126, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8441094756126404, max_false: 0.5898072123527527, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7666341066360474, max_false: 0.27498659491539, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6321244239807129, max_false: 0.8957911133766174, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7136164307594299, max_false: 0.47257110476493835, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5722165703773499, max_false: 0.6254943609237671, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.805485188961029, max_false: 0.2667876183986664, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5618656873703003, max_false: 0.6602136492729187, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7462710738182068, max_false: 0.41746047139167786, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6913182139396667, max_false: 0.3966977596282959, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.49768802523612976, max_false: 0.8765791058540344, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8849472403526306, max_false: 0.4901795983314514, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9184293150901794, max_false: 0.2620185613632202, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9201856851577759, max_false: 0.4704093337059021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8157938122749329, max_false: 0.39527907967567444, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4638345539569855, max_false: 0.7697829604148865, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6757095456123352, max_false: 0.8077275156974792, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6274889707565308, max_false: 0.5709712505340576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8601532578468323, max_false: 0.6192984580993652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5162125825881958, max_false: 0.7045913934707642, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7994483709335327, max_false: 0.28305232524871826, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.779363751411438, max_false: 0.7745459079742432, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8793894648551941, max_false: 0.3293416500091553, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7709725499153137, max_false: 0.6653100252151489, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7110661864280701, max_false: 0.22533829510211945, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8337447643280029, max_false: 0.4192107915878296, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8592905402183533, max_false: 0.44297081232070923, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6944752335548401, max_false: 0.7771557569503784, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7940086722373962, max_false: 0.5753664374351501, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5294386148452759, max_false: 0.8769878149032593, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8536332845687866, max_false: 0.598206639289856, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8617579340934753, max_false: 0.6281141042709351, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7682346701622009, max_false: 0.667626678943634, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8324679136276245, max_false: 0.730746328830719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8850017189979553, max_false: 0.27985745668411255, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6763412952423096, max_false: 0.6645867228507996, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7731999754905701, max_false: 0.5728551745414734, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4627368152141571, max_false: 0.8465898036956787, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7708492279052734, max_false: 0.6553254723548889, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4812687337398529, max_false: 0.8169879913330078, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7762348651885986, max_false: 0.559991717338562, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8773193955421448, max_false: 0.5342249274253845, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7983672022819519, max_false: 0.363111674785614, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8389600515365601, max_false: 0.7077852487564087, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8923470973968506, max_false: 0.35650917887687683, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.38297122716903687, max_false: 0.7821705341339111, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6678949594497681, max_false: 0.8452649712562561, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.845609724521637, max_false: 0.5197190046310425, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7957025170326233, max_false: 0.21790224313735962, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.712922990322113, max_false: 0.7162293195724487, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6859865188598633, max_false: 0.6718730926513672, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5812353491783142, max_false: 0.7137821316719055, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7576611042022705, max_false: 0.3546040952205658, correct: True
