experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6067232489585876, max_false: 0.774711549282074, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8871932625770569, max_false: 0.442334920167923, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7865018844604492, max_false: 0.7642140984535217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8684470653533936, max_false: 0.36710238456726074, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6362118721008301, max_false: 0.6768499612808228, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7436882257461548, max_false: 0.3760482668876648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7952607870101929, max_false: 0.7050875425338745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7379338145256042, max_false: 0.2944118082523346, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6995280981063843, max_false: 0.87026047706604, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8407317399978638, max_false: 0.5527863502502441, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.49152371287345886, max_false: 0.6140497326850891, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8083916306495667, max_false: 0.24351634085178375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5358061790466309, max_false: 0.7589575052261353, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8118671178817749, max_false: 0.45472899079322815, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6969605088233948, max_false: 0.4275560975074768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4551490247249603, max_false: 0.8552254438400269, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8919535279273987, max_false: 0.5497525334358215, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9294520616531372, max_false: 0.29985886812210083, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8973236680030823, max_false: 0.5626566410064697, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8513822555541992, max_false: 0.581487238407135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5374687910079956, max_false: 0.7739859819412231, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7593249082565308, max_false: 0.8106353282928467, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5848321318626404, max_false: 0.6978347897529602, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6900686621665955, max_false: 0.8979454636573792, correct: False
