experiment run details:
  dataset: hoi
  model: phi openworld lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9171768426895142, max_false: 0.8866791725158691, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8406623601913452, max_false: 0.7337380647659302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.937272310256958, max_false: 0.8985937237739563, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8766463994979858, max_false: 0.8278116583824158, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8213600516319275, max_false: 0.7769633531570435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8459802865982056, max_false: 0.8513194918632507, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9472445845603943, max_false: 0.9081968665122986, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8972374796867371, max_false: 0.8747474551200867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9152344465255737, max_false: 0.9034909009933472, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158813953399658, max_false: 0.8944052457809448, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.855495035648346, max_false: 0.8507158160209656, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8737976551055908, max_false: 0.8428994417190552, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7936362624168396, max_false: 0.809005618095398, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8804761171340942, max_false: 0.8841468095779419, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8640567064285278, max_false: 0.8475936055183411, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9014752507209778, max_false: 0.9068703651428223, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9218825697898865, max_false: 0.8945556879043579, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9223782420158386, max_false: 0.8631061911582947, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9488274455070496, max_false: 0.8774983286857605, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204416275024414, max_false: 0.8944709897041321, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8777399659156799, max_false: 0.8358681797981262, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9387747645378113, max_false: 0.8929258584976196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145914316177368, max_false: 0.8743157982826233, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9322661757469177, max_false: 0.8515431880950928, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9040826559066772, max_false: 0.8250402212142944, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8790007829666138, max_false: 0.8169662952423096, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9400293827056885, max_false: 0.9347357749938965, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9044331908226013, max_false: 0.8876379132270813, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9201826453208923, max_false: 0.9070920944213867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8126617670059204, max_false: 0.7838203310966492, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9270637631416321, max_false: 0.8799282908439636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9416297674179077, max_false: 0.9128203392028809, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9393749237060547, max_false: 0.9126548767089844, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7663208842277527, max_false: 0.7886432409286499, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9231392741203308, max_false: 0.9091681241989136, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9035099744796753, max_false: 0.8967810869216919, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.909340500831604, max_false: 0.8943902254104614, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8957651853561401, max_false: 0.9031102061271667, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.940908670425415, max_false: 0.9366384744644165, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8940668106079102, max_false: 0.8528920412063599, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8677746653556824, max_false: 0.8508835434913635, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8701915740966797, max_false: 0.8585034012794495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9134182929992676, max_false: 0.8949434757232666, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9311710000038147, max_false: 0.9419035911560059, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9071259498596191, max_false: 0.8728835582733154, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9234195947647095, max_false: 0.9301714897155762, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023889303207397, max_false: 0.89193195104599, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8265138268470764, max_false: 0.8152799606323242, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204930663108826, max_false: 0.8320974111557007, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9114851951599121, max_false: 0.8586074113845825, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8419917821884155, max_false: 0.8071351051330566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8909715414047241, max_false: 0.9310876727104187, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9644631743431091, max_false: 0.9040097594261169, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8624001741409302, max_false: 0.8132355213165283, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9211850762367249, max_false: 0.9177994728088379, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8691397905349731, max_false: 0.8551526069641113, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8948401808738708, max_false: 0.860418438911438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8434728384017944, max_false: 0.8573725819587708, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8872230052947998, max_false: 0.8744639754295349, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9291665554046631, max_false: 0.9371526837348938, correct: False
