experiment run details:
  dataset: openworld
  model: phi hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349890351295471, max_false: 0.9116907715797424, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9192690849304199, max_false: 0.8802393078804016, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9401149749755859, max_false: 0.9449813365936279, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8926950097084045, max_false: 0.8547202944755554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9603059887886047, max_false: 0.9504207372665405, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9391602873802185, max_false: 0.8987951278686523, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9353302121162415, max_false: 0.9385462999343872, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9221276044845581, max_false: 0.9203553199768066, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.94642573595047, max_false: 0.9522017240524292, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9194396734237671, max_false: 0.908777117729187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9328487515449524, max_false: 0.934527575969696, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9466279745101929, max_false: 0.938843309879303, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9620926976203918, max_false: 0.9579569101333618, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9413408637046814, max_false: 0.9048765897750854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.95606529712677, max_false: 0.9238235950469971, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9047285914421082, max_false: 0.8523961901664734, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9572582244873047, max_false: 0.9535605907440186, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9423912763595581, max_false: 0.9219897985458374, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9393293857574463, max_false: 0.9210152626037598, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198121428489685, max_false: 0.8973092436790466, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9144869446754456, max_false: 0.9270698428153992, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9103673696517944, max_false: 0.8874523043632507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9296874403953552, max_false: 0.9409568309783936, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949490487575531, max_false: 0.9280914068222046, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9352861046791077, max_false: 0.9371681809425354, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8643811941146851, max_false: 0.8346965312957764, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9637426137924194, max_false: 0.9480911493301392, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9419224262237549, max_false: 0.9206365346908569, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.956875741481781, max_false: 0.9531423449516296, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8931006789207458, max_false: 0.8818241357803345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.898720383644104, max_false: 0.9088828563690186, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9167738556861877, max_false: 0.9149380326271057, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9451032280921936, max_false: 0.9177936315536499, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9076858162879944, max_false: 0.8746437430381775, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.886555552482605, max_false: 0.8554950952529907, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9256778955459595, max_false: 0.9129092693328857, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9055992960929871, max_false: 0.8975977301597595, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9199762344360352, max_false: 0.8850621581077576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9562560319900513, max_false: 0.9538020491600037, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9623261094093323, max_false: 0.9340935349464417, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.936540961265564, max_false: 0.9105919599533081, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.89279705286026, max_false: 0.8589172959327698, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9500892758369446, max_false: 0.9508063793182373, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8800144195556641, max_false: 0.882580041885376, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9455389976501465, max_false: 0.9058684706687927, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8851526379585266, max_false: 0.8396041393280029, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949248194694519, max_false: 0.9354391694068909, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9208241105079651, max_false: 0.8834903836250305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9517245292663574, max_false: 0.9448290467262268, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.923198938369751, max_false: 0.9057064056396484, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9472008347511292, max_false: 0.9423638582229614, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8666790127754211, max_false: 0.8477058410644531, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9393879175186157, max_false: 0.9421868324279785, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8612008094787598, max_false: 0.8228249549865723, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9505860209465027, max_false: 0.900263249874115, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9508312940597534, max_false: 0.8865029215812683, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343790411949158, max_false: 0.9332277178764343, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9447122812271118, max_false: 0.9266578555107117, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.932563066482544, max_false: 0.8964977860450745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9455921649932861, max_false: 0.9162935614585876, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9199681878089905, max_false: 0.8823093175888062, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.8794727325439453, max_false: 0.8490232825279236, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9382621645927429, max_false: 0.9511884450912476, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9333872199058533, max_false: 0.9186652302742004, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9514303803443909, max_false: 0.9557797908782959, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.946416974067688, max_false: 0.9449299573898315, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9425884485244751, max_false: 0.9433327913284302, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8920489549636841, max_false: 0.8832999467849731, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9616857767105103, max_false: 0.9458426237106323, correct: True
