experiment run details:
  dataset: openworld
  model: phi hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.93290114402771, max_false: 0.9066355228424072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.920046329498291, max_false: 0.8846559524536133, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9376972913742065, max_false: 0.938643217086792, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8967706561088562, max_false: 0.8599623441696167, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9639250636100769, max_false: 0.9505683779716492, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379400014877319, max_false: 0.8996472954750061, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9337968826293945, max_false: 0.9356545209884644, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9242820739746094, max_false: 0.9227177500724792, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9481717348098755, max_false: 0.9543096423149109, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9070137739181519, max_false: 0.9002413153648376, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320012927055359, max_false: 0.9351497292518616, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9527735114097595, max_false: 0.9447178840637207, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9685361981391907, max_false: 0.9583659172058105, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9391564726829529, max_false: 0.9063843488693237, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.953197717666626, max_false: 0.9225915670394897, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8965545296669006, max_false: 0.8476935029029846, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9629896879196167, max_false: 0.9547418355941772, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9456185698509216, max_false: 0.9288907051086426, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9376325607299805, max_false: 0.9192346930503845, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.918404221534729, max_false: 0.896834671497345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.913877010345459, max_false: 0.9231919646263123, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9065036177635193, max_false: 0.8897292613983154, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202221632003784, max_false: 0.9337968826293945, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949612021446228, max_false: 0.9316011071205139, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9365948438644409, max_false: 0.9377985000610352, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8499727845191956, max_false: 0.8217589259147644, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9550510048866272, max_false: 0.9382840991020203, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9396282434463501, max_false: 0.9174503087997437, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9608254432678223, max_false: 0.9547407627105713, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8910650014877319, max_false: 0.8854936361312866, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9012889266014099, max_false: 0.9126697182655334, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9168031811714172, max_false: 0.915253221988678, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.937019407749176, max_false: 0.9103506803512573, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9099329113960266, max_false: 0.8774890899658203, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8821800947189331, max_false: 0.8483392000198364, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9248860478401184, max_false: 0.9136572480201721, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8935784101486206, max_false: 0.8893920183181763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9211286902427673, max_false: 0.8915187120437622, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9575587511062622, max_false: 0.9522155523300171, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9569364786148071, max_false: 0.9360857605934143, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336032867431641, max_false: 0.9055559635162354, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8870272040367126, max_false: 0.8593544960021973, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9521437883377075, max_false: 0.9475016593933105, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8735448122024536, max_false: 0.8818957805633545, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9351019859313965, max_false: 0.8951417803764343, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8758473992347717, max_false: 0.8323692679405212, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9479763507843018, max_false: 0.9302502870559692, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9189258813858032, max_false: 0.8775243759155273, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9563789367675781, max_false: 0.9420897364616394, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9213225841522217, max_false: 0.9061283469200134, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9435579776763916, max_false: 0.9392773509025574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.862297773361206, max_false: 0.8420193195343018, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9366883039474487, max_false: 0.9386466145515442, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8496928215026855, max_false: 0.8125226497650146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9476285576820374, max_false: 0.8908793330192566, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9478103518486023, max_false: 0.8869238495826721, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9348003268241882, max_false: 0.9285191893577576, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9351703524589539, max_false: 0.9221057891845703, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9265963435173035, max_false: 0.8882690668106079, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9477033615112305, max_false: 0.9180625081062317, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9156000018119812, max_false: 0.8809659481048584, correct: True
in: torch.Size([468, 3072]), out: torch.Size([3072]), max_true: 0.8746951818466187, max_false: 0.8474344611167908, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9441322088241577, max_false: 0.9509018063545227, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9287903904914856, max_false: 0.9174326658248901, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9657772183418274, max_false: 0.9625810384750366, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9421948194503784, max_false: 0.9433589577674866, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9363267421722412, max_false: 0.9340546131134033, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8845894932746887, max_false: 0.8804811239242554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9634884595870972, max_false: 0.9414128661155701, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8890445828437805, max_false: 0.8599989414215088, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9279085397720337, max_false: 0.9170688390731812, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9666620492935181, max_false: 0.9348587393760681, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496709108352661, max_false: 0.9503428936004639, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9489988088607788, max_false: 0.9148582816123962, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9538217186927795, max_false: 0.9587500691413879, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9556534290313721, max_false: 0.9474148154258728, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.93836909532547, max_false: 0.956440269947052, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342278242111206, max_false: 0.9196985960006714, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471456408500671, max_false: 0.9231217503547668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8522758483886719, max_false: 0.800399124622345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9274059534072876, max_false: 0.9067985415458679, correct: True
