experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9302911758422852, max_false: 0.902047872543335, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9112586379051208, max_false: 0.8721125721931458, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9277947545051575, max_false: 0.9264788627624512, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8705381155014038, max_false: 0.8313466906547546, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9372490644454956, max_false: 0.9271745681762695, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9280608892440796, max_false: 0.8784583806991577, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9227879047393799, max_false: 0.9244710206985474, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8960935473442078, max_false: 0.9015234708786011, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9233584403991699, max_false: 0.9387072324752808, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9037177562713623, max_false: 0.8957798480987549, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202951788902283, max_false: 0.9123656749725342, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9304946064949036, max_false: 0.9245604872703552, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9462252855300903, max_false: 0.937635600566864, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9238730072975159, max_false: 0.8872607946395874, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9434646368026733, max_false: 0.8975751399993896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8940120935440063, max_false: 0.8372038006782532, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9463871717453003, max_false: 0.9408997893333435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9225534796714783, max_false: 0.9008882641792297, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182904958724976, max_false: 0.8942080736160278, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9072142243385315, max_false: 0.8821632862091064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8992651700973511, max_false: 0.9065760374069214, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8921710252761841, max_false: 0.8726113438606262, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9267681837081909, max_false: 0.9274702072143555, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9359269738197327, max_false: 0.9176613092422485, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9067010879516602, max_false: 0.9179418683052063, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.831366240978241, max_false: 0.8009774088859558, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9464072585105896, max_false: 0.923990786075592, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9266842007637024, max_false: 0.9062760472297668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9422765970230103, max_false: 0.9328962564468384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8730751276016235, max_false: 0.8734825253486633, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8855936527252197, max_false: 0.8920922875404358, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8919287919998169, max_false: 0.8947750329971313, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9278572797775269, max_false: 0.8976261615753174, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8806021809577942, max_false: 0.8429307341575623, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.868827760219574, max_false: 0.8305132985115051, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9078660607337952, max_false: 0.9049066305160522, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8895310163497925, max_false: 0.8709818720817566, correct: True
