experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204167127609253, max_false: 0.887248158454895, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8987256288528442, max_false: 0.852114200592041, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9147117733955383, max_false: 0.9106032848358154, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8583507537841797, max_false: 0.8120815753936768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9463275074958801, max_false: 0.9300980567932129, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9050054550170898, max_false: 0.8471958041191101, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9103505611419678, max_false: 0.90964674949646, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8917654156684875, max_false: 0.8970739245414734, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9229686856269836, max_false: 0.9383307695388794, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8767411708831787, max_false: 0.8702364563941956, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9046531915664673, max_false: 0.9026867747306824, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9254612922668457, max_false: 0.9176139235496521, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9504626989364624, max_false: 0.9410607814788818, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.903608500957489, max_false: 0.8615323305130005, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9359982013702393, max_false: 0.8898394107818604, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8617400527000427, max_false: 0.799592137336731, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9451141953468323, max_false: 0.9388813376426697, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9249185919761658, max_false: 0.9000259041786194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9113783836364746, max_false: 0.8881901502609253, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8905022144317627, max_false: 0.8640148043632507, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8931043744087219, max_false: 0.9014593958854675, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.874247133731842, max_false: 0.8561686277389526, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9004034399986267, max_false: 0.9117646217346191, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9280644655227661, max_false: 0.9067269563674927, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9017956256866455, max_false: 0.9139487743377686, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8035116195678711, max_false: 0.7714236378669739, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.918928861618042, max_false: 0.8990470767021179, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9084131121635437, max_false: 0.8844069242477417, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9457350373268127, max_false: 0.9341903328895569, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8580862283706665, max_false: 0.8543455600738525, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8617227077484131, max_false: 0.8740488290786743, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8775461912155151, max_false: 0.8777239918708801, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158286452293396, max_false: 0.8784366250038147, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.867665708065033, max_false: 0.8276614546775818, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8581234812736511, max_false: 0.823593020439148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8946213722229004, max_false: 0.8781729340553284, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8619506359100342, max_false: 0.8446151614189148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.88593590259552, max_false: 0.8420718908309937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9405328631401062, max_false: 0.9369646310806274, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471346735954285, max_false: 0.9217146635055542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9085125923156738, max_false: 0.868287205696106, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8486789464950562, max_false: 0.8104108572006226, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9385498762130737, max_false: 0.9356573224067688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8308760523796082, max_false: 0.8438901901245117, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9105996489524841, max_false: 0.8595904111862183, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8379117846488953, max_false: 0.7895758748054504, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9293965101242065, max_false: 0.9120275378227234, correct: True
