experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170361161231995, max_false: 0.8262728452682495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8323554992675781, max_false: 0.8117815852165222, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8348827958106995, max_false: 0.8381268978118896, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.781521201133728, max_false: 0.8057547807693481, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.950432300567627, max_false: 0.8774958848953247, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.877177357673645, max_false: 0.8121403455734253, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9148204326629639, max_false: 0.8443333506584167, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8106333017349243, max_false: 0.8082435727119446, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8772269487380981, max_false: 0.818767786026001, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8295475244522095, max_false: 0.8084535598754883, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9003852009773254, max_false: 0.874902606010437, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.886557400226593, max_false: 0.8756467700004578, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9471161961555481, max_false: 0.9022796750068665, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8577783107757568, max_false: 0.8210896253585815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.918649435043335, max_false: 0.7735920548439026, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8877956867218018, max_false: 0.8337949514389038, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9539052844047546, max_false: 0.8991276621818542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8435204029083252, max_false: 0.7904958128929138, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9229860901832581, max_false: 0.8442583084106445, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8797010779380798, max_false: 0.8198320269584656, correct: True
