experiment run details:
  dataset: openworld
  model: phi hoi postfix
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9366192817687988, max_false: 0.9117236137390137, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170736074447632, max_false: 0.8777849674224854, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9331133365631104, max_false: 0.9415378570556641, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.888053834438324, max_false: 0.8492511510848999, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9548523426055908, max_false: 0.9444839954376221, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342044591903687, max_false: 0.8954166769981384, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9323471784591675, max_false: 0.9327115416526794, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9150353670120239, max_false: 0.9171451330184937, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9395264387130737, max_false: 0.9458976984024048, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.915162205696106, max_false: 0.9072005748748779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349784255027771, max_false: 0.9307235479354858, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9445890784263611, max_false: 0.9363061785697937, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9583138823509216, max_false: 0.9542295336723328, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9375116229057312, max_false: 0.9022856950759888, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9502925276756287, max_false: 0.918242871761322, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8995739817619324, max_false: 0.8489359021186829, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9523049592971802, max_false: 0.947554349899292, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9377543926239014, max_false: 0.9187523126602173, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.935927152633667, max_false: 0.9164077043533325, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9138864278793335, max_false: 0.8925799131393433, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9119450449943542, max_false: 0.9235014915466309, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9086194038391113, max_false: 0.8864120244979858, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.928795576095581, max_false: 0.9365841150283813, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9451360106468201, max_false: 0.9269945621490479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9264140725135803, max_false: 0.9294490218162537, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8554461002349854, max_false: 0.8270950317382812, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9597693681716919, max_false: 0.9445608258247375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9342752695083618, max_false: 0.9185832738876343, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9544663429260254, max_false: 0.9486928582191467, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8927719593048096, max_false: 0.8856978416442871, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8938188552856445, max_false: 0.9031140208244324, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9180482625961304, max_false: 0.9177274703979492, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9410207867622375, max_false: 0.9139366149902344, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9027619361877441, max_false: 0.8733930587768555, correct: True
