experiment run details:
  dataset: openworld
  model: phi hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9046094417572021, max_false: 0.7471617460250854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.876631498336792, max_false: 0.6223790049552917, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8911265134811401, max_false: 0.806265652179718, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.825446367263794, max_false: 0.6725316047668457, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320284128189087, max_false: 0.8106437921524048, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8833377361297607, max_false: 0.7432082295417786, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8935211896896362, max_false: 0.7914730310440063, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8434286117553711, max_false: 0.8063105344772339, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9193692803382874, max_false: 0.8347997665405273, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8650612235069275, max_false: 0.6995531320571899, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8575090765953064, max_false: 0.8371220231056213, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8338497281074524, max_false: 0.8602270483970642, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.940617561340332, max_false: 0.7889734506607056, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8878573775291443, max_false: 0.7119967341423035, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9226251244544983, max_false: 0.6136921644210815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7998675107955933, max_false: 0.7414065599441528, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9108037352561951, max_false: 0.8384654521942139, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8295514583587646, max_false: 0.8351080417633057, correct: False
