experiment run details:
  dataset: openworld
  model: phi hoi full
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9159687757492065, max_false: 0.7015249729156494, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8687949776649475, max_false: 0.7072691917419434, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.868323564529419, max_false: 0.706606924533844, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8112226724624634, max_false: 0.7412497997283936, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9486061334609985, max_false: 0.7800683975219727, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.875108003616333, max_false: 0.7957677841186523, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9051735997200012, max_false: 0.7680521011352539, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8232911825180054, max_false: 0.865034818649292, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9305177330970764, max_false: 0.7794229388237, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8528593182563782, max_false: 0.7562174201011658, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8780384063720703, max_false: 0.8178620338439941, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7950677275657654, max_false: 0.8989026546478271, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.952534019947052, max_false: 0.75962895154953, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8669849038124084, max_false: 0.7976579070091248, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9023026823997498, max_false: 0.622437059879303, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7510842084884644, max_false: 0.7854236364364624, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9387063980102539, max_false: 0.7721225619316101, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7504590749740601, max_false: 0.8960514664649963, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8502137064933777, max_false: 0.5585317611694336, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8360863924026489, max_false: 0.7903397083282471, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8634840846061707, max_false: 0.8477967381477356, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8147789239883423, max_false: 0.8220723867416382, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8816661834716797, max_false: 0.7137176990509033, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8877495527267456, max_false: 0.8179715871810913, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.902007520198822, max_false: 0.7369823455810547, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.730333685874939, max_false: 0.7257692813873291, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9207315444946289, max_false: 0.5025812983512878, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8618019223213196, max_false: 0.7922719120979309, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9318749308586121, max_false: 0.8235728740692139, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6820419430732727, max_false: 0.8308020830154419, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8601886630058289, max_false: 0.7547483444213867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7786085605621338, max_false: 0.8534057140350342, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9282942414283752, max_false: 0.6475334167480469, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8404703140258789, max_false: 0.7724466323852539, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8436967134475708, max_false: 0.6438454985618591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8409149646759033, max_false: 0.8431887030601501, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.83742356300354, max_false: 0.6282406449317932, correct: True
