experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8683735728263855, max_false: 0.7585585117340088, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7951539754867554, max_false: 0.6990251541137695, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7889112830162048, max_false: 0.7142355442047119, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6008816361427307, max_false: 0.4488068222999573, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8431946635246277, max_false: 0.7126737236976624, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7241740226745605, max_false: 0.5273129343986511, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8490515351295471, max_false: 0.7427292466163635, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5824110507965088, max_false: 0.6263801455497742, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8043552041053772, max_false: 0.7792785167694092, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7281752228736877, max_false: 0.7404232621192932, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6142074465751648, max_false: 0.5743445158004761, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6063345074653625, max_false: 0.6320419311523438, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8779076337814331, max_false: 0.6183793544769287, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6783377528190613, max_false: 0.42049604654312134, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6626975536346436, max_false: 0.5125609636306763, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7569943070411682, max_false: 0.4458119869232178, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9065348505973816, max_false: 0.7729443907737732, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7881853580474854, max_false: 0.5979247689247131, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8488283157348633, max_false: 0.6938939094543457, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6888961791992188, max_false: 0.49265968799591064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7422946691513062, max_false: 0.6705759763717651, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6900940537452698, max_false: 0.5925564765930176, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7906403541564941, max_false: 0.7364901304244995, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7615759372711182, max_false: 0.6958026885986328, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8376134634017944, max_false: 0.7866842746734619, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6638357043266296, max_false: 0.5630668997764587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8953338265419006, max_false: 0.6909018754959106, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.731271505355835, max_false: 0.5509105920791626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8445667028427124, max_false: 0.7276487946510315, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.636075496673584, max_false: 0.6484201550483704, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5716057419776917, max_false: 0.6497598886489868, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5511733889579773, max_false: 0.48713234066963196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.778452455997467, max_false: 0.6173003315925598, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7048080563545227, max_false: 0.45347410440444946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7057790756225586, max_false: 0.5513441562652588, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7331697344779968, max_false: 0.6997435688972473, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6708000302314758, max_false: 0.5316519737243652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6809439063072205, max_false: 0.5110769271850586, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8588677644729614, max_false: 0.8230857253074646, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8573516011238098, max_false: 0.6922678351402283, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.871020495891571, max_false: 0.7070372700691223, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6165406703948975, max_false: 0.4764512777328491, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8183865547180176, max_false: 0.8120262026786804, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.664524257183075, max_false: 0.5803626179695129, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8408583998680115, max_false: 0.6481233835220337, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6521047949790955, max_false: 0.5367354154586792, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8752802014350891, max_false: 0.7449300289154053, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7944192886352539, max_false: 0.6310605406761169, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7727959156036377, max_false: 0.6250487565994263, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6399942636489868, max_false: 0.5877670049667358, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8572349548339844, max_false: 0.8074756264686584, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6436597108840942, max_false: 0.5340683460235596, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6626866459846497, max_false: 0.6792388558387756, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6022383570671082, max_false: 0.47710323333740234, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8787578344345093, max_false: 0.6701552867889404, correct: True
