experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8874703645706177, max_false: 0.8348143696784973, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8239785432815552, max_false: 0.7804544568061829, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8238449692726135, max_false: 0.7804738283157349, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6845839023590088, max_false: 0.5939106941223145, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9046247601509094, max_false: 0.8191041946411133, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8137994408607483, max_false: 0.6799635887145996, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8821401000022888, max_false: 0.8340783715248108, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7502416968345642, max_false: 0.7774780988693237, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8766071796417236, max_false: 0.8515278100967407, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7850006818771362, max_false: 0.7925910949707031, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7151893973350525, max_false: 0.6974245309829712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7952970862388611, max_false: 0.7995717525482178, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.899777352809906, max_false: 0.7470045685768127, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7841181755065918, max_false: 0.5899892449378967, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8045613765716553, max_false: 0.705177366733551, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8053668141365051, max_false: 0.6332926750183105, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9009755253791809, max_false: 0.8243318200111389, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8609300255775452, max_false: 0.7673599123954773, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8998894095420837, max_false: 0.7957538962364197, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7759763598442078, max_false: 0.665448009967804, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7945349812507629, max_false: 0.7450131773948669, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7260998487472534, max_false: 0.6813685297966003, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8627797961235046, max_false: 0.8429351449012756, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8604279160499573, max_false: 0.8210664987564087, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8678382039070129, max_false: 0.8524496555328369, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7311328649520874, max_false: 0.6562855839729309, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9291335344314575, max_false: 0.8022274374961853, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7713167071342468, max_false: 0.6974697709083557, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8974770903587341, max_false: 0.8245462775230408, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7216934561729431, max_false: 0.7329460978507996, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7161931395530701, max_false: 0.7673256397247314, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6984390616416931, max_false: 0.6746161580085754, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8361360430717468, max_false: 0.7471509575843811, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7957333922386169, max_false: 0.6603512763977051, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7757146954536438, max_false: 0.6888393759727478, correct: True
