experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.920991063117981, max_false: 0.8363147377967834, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8450449109077454, max_false: 0.8311900496482849, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8279166221618652, max_false: 0.8365272879600525, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7911304235458374, max_false: 0.8214901685714722, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9501510262489319, max_false: 0.876562774181366, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8768303394317627, max_false: 0.8104782104492188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9085091948509216, max_false: 0.8410976529121399, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8109917640686035, max_false: 0.8099840879440308, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.878544270992279, max_false: 0.8183215856552124, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8333662748336792, max_false: 0.80967116355896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9035168886184692, max_false: 0.8788182735443115, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8865048289299011, max_false: 0.8737962245941162, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9461081027984619, max_false: 0.9020311832427979, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8553134799003601, max_false: 0.8190396428108215, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191754460334778, max_false: 0.7737593054771423, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8917370438575745, max_false: 0.8364769220352173, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9532783627510071, max_false: 0.8996455669403076, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8399881720542908, max_false: 0.7914562225341797, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9204630851745605, max_false: 0.8422209620475769, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8805426359176636, max_false: 0.8221757411956787, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8031721115112305, max_false: 0.8120224475860596, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7986338138580322, max_false: 0.8009036183357239, correct: False
