experiment run details:
  dataset: openworld
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/
---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9149079918861389, max_false: 0.8242087960243225, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8329454064369202, max_false: 0.8118256330490112, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.836062490940094, max_false: 0.8404855132102966, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.77974534034729, max_false: 0.8057270050048828, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9500284194946289, max_false: 0.876476526260376, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.875106155872345, max_false: 0.8087925910949707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9120318293571472, max_false: 0.8425874710083008, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8085500001907349, max_false: 0.8057595491409302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8754795789718628, max_false: 0.8151763081550598, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8287063241004944, max_false: 0.8052686452865601, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9001954793930054, max_false: 0.8737182021141052, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8853129148483276, max_false: 0.8741137981414795, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9466415643692017, max_false: 0.9007259607315063, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8561943173408508, max_false: 0.8197777271270752, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9178891181945801, max_false: 0.7751650810241699, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8896982073783875, max_false: 0.835222601890564, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9520375728607178, max_false: 0.8962184190750122, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8399519324302673, max_false: 0.7867092490196228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9205581545829773, max_false: 0.8412867784500122, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8780444860458374, max_false: 0.8176968097686768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8030370473861694, max_false: 0.8085130453109741, correct: False
