experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9451173543930054, max_false: 0.9520180821418762, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9534057378768921, max_false: 0.9043172001838684, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9539090394973755, max_false: 0.9555552005767822, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320217370986938, max_false: 0.8996947407722473, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9001930952072144, max_false: 0.8996694087982178, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9020920395851135, max_false: 0.89542555809021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9570118188858032, max_false: 0.9571320414543152, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9460732936859131, max_false: 0.9251265525817871, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9416015148162842, max_false: 0.9561747908592224, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9447884559631348, max_false: 0.9176425933837891, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9079187512397766, max_false: 0.9176502823829651, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9270774126052856, max_false: 0.8967834711074829, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8509089946746826, max_false: 0.8757838606834412, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320427775382996, max_false: 0.9376031756401062, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9131648540496826, max_false: 0.9076628684997559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9482582211494446, max_false: 0.9462711215019226, correct: True
