experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9473746418952942, max_false: 0.9539504647254944, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9539775848388672, max_false: 0.9088467359542847, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9499466419219971, max_false: 0.9507662057876587, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9278149604797363, max_false: 0.8962454199790955, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8937550783157349, max_false: 0.8934209942817688, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8989636301994324, max_false: 0.892809271812439, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9497436285018921, max_false: 0.950851559638977, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9456138014793396, max_false: 0.9284045100212097, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9464557766914368, max_false: 0.9566641449928284, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947909951210022, max_false: 0.9233865737915039, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9094921946525574, max_false: 0.915919303894043, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.932378351688385, max_false: 0.906632661819458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.850996732711792, max_false: 0.8771722316741943, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9317941069602966, max_false: 0.9362725615501404, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9104577898979187, max_false: 0.9032313823699951, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9502315521240234, max_false: 0.9511354565620422, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.949456512928009, max_false: 0.9293755888938904, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9541455507278442, max_false: 0.9050132632255554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9677349328994751, max_false: 0.9462103843688965, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9655562043190002, max_false: 0.9334753155708313, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9185622334480286, max_false: 0.9157301187515259, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9645531177520752, max_false: 0.938249945640564, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9143060445785522, max_false: 0.9153868556022644, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9734352231025696, max_false: 0.9353510141372681, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9235002398490906, max_false: 0.9234071373939514, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9291108250617981, max_false: 0.9055817723274231, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9521768689155579, max_false: 0.9665274024009705, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9585784673690796, max_false: 0.9362159967422485, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9349279999732971, max_false: 0.9352129697799683, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9184329509735107, max_false: 0.906183123588562, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9389674067497253, max_false: 0.9385005235671997, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9656429290771484, max_false: 0.931885302066803, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9467403888702393, max_false: 0.9619020819664001, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9282487034797668, max_false: 0.9165383577346802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9531679153442383, max_false: 0.9689558744430542, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9554811716079712, max_false: 0.9352185130119324, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9485986828804016, max_false: 0.9592995047569275, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9596396088600159, max_false: 0.9479879140853882, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9490408897399902, max_false: 0.95875084400177, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9535675048828125, max_false: 0.9277154803276062, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9433413147926331, max_false: 0.9372056126594543, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9296261668205261, max_false: 0.9165560603141785, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9352375864982605, max_false: 0.9426935911178589, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9625462293624878, max_false: 0.9528415203094482, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9296289682388306, max_false: 0.9394208788871765, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9365904927253723, max_false: 0.9159188270568848, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9429461359977722, max_false: 0.9384903907775879, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9169992208480835, max_false: 0.9165056347846985, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9439689517021179, max_false: 0.9320915937423706, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9525477290153503, max_false: 0.9285622835159302, correct: True
