experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9276453256607056, max_false: 0.933121383190155, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9409493803977966, max_false: 0.8735800981521606, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9423606395721436, max_false: 0.9430758953094482, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182483553886414, max_false: 0.8840289115905762, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9005884528160095, max_false: 0.8879144191741943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8933128714561462, max_false: 0.8935316801071167, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9352921843528748, max_false: 0.9369252920150757, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9195467829704285, max_false: 0.900650143623352, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.924053430557251, max_false: 0.9433705806732178, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9179182052612305, max_false: 0.8800510764122009, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.897404670715332, max_false: 0.9031541347503662, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9072163105010986, max_false: 0.8774768114089966, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8392735719680786, max_false: 0.8513365983963013, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9192134737968445, max_false: 0.9270067811012268, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9044229984283447, max_false: 0.8990310430526733, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9432681202888489, max_false: 0.9396246075630188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9402830004692078, max_false: 0.9033036828041077, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9378238916397095, max_false: 0.8846820592880249, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9513956904411316, max_false: 0.921186089515686, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9540888667106628, max_false: 0.8985806107521057, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8937328457832336, max_false: 0.899969756603241, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9573377370834351, max_false: 0.9255910515785217, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9094523191452026, max_false: 0.9041339159011841, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9625089764595032, max_false: 0.9168745875358582, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9312760829925537, max_false: 0.9173417091369629, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9196810722351074, max_false: 0.8929509520530701, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9426876306533813, max_false: 0.9579294323921204, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9513886570930481, max_false: 0.9225987195968628, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9353370070457458, max_false: 0.9288535118103027, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9014767408370972, max_false: 0.8680260181427002, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9314461946487427, max_false: 0.9217410683631897, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9564664959907532, max_false: 0.9115027189254761, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.935455858707428, max_false: 0.951267659664154, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145941138267517, max_false: 0.8980850577354431, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9284296631813049, max_false: 0.9486968517303467, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9406132102012634, max_false: 0.9170351624488831, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9399212002754211, max_false: 0.9480253458023071, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403980374336243, max_false: 0.9295141696929932, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336016774177551, max_false: 0.9467781186103821, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343835115432739, max_false: 0.9035035967826843, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9224069118499756, max_false: 0.9164643287658691, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.927444338798523, max_false: 0.915175199508667, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202011823654175, max_false: 0.9330689907073975, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9530426263809204, max_false: 0.9411624670028687, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9209651350975037, max_false: 0.9283177256584167, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9317675232887268, max_false: 0.9137006998062134, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379256367683411, max_false: 0.9332278966903687, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8983482122421265, max_false: 0.8853772282600403, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9386683702468872, max_false: 0.9215589761734009, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9388442039489746, max_false: 0.9120230674743652, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9070752859115601, max_false: 0.8973722457885742, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9387708902359009, max_false: 0.9458771347999573, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9485121965408325, max_false: 0.9417877197265625, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9254720211029053, max_false: 0.8886334300041199, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9290564060211182, max_false: 0.9414421319961548, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9311355948448181, max_false: 0.9104464650154114, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9168478846549988, max_false: 0.9133663773536682, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8912603855133057, max_false: 0.8880084753036499, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9098508358001709, max_false: 0.9173153042793274, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347786903381348, max_false: 0.9163740873336792, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8267072439193726, max_false: 0.8617862462997437, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9548676609992981, max_false: 0.8681513667106628, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9403791427612305, max_false: 0.9366602301597595, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9341031908988953, max_false: 0.9238533973693848, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9176852703094482, max_false: 0.9292193055152893, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9417200088500977, max_false: 0.9176796674728394, correct: True
