experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9333608150482178, max_false: 0.934495210647583, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9422498345375061, max_false: 0.8808928728103638, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9388967156410217, max_false: 0.9404379725456238, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9206708669662476, max_false: 0.8903816342353821, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.89536452293396, max_false: 0.8850308060646057, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8846825361251831, max_false: 0.8819674849510193, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9435059428215027, max_false: 0.9417337775230408, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9154666662216187, max_false: 0.9025454521179199, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9272165298461914, max_false: 0.9404482245445251, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9178804755210876, max_false: 0.8838696479797363, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8808412551879883, max_false: 0.8883443474769592, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.906451940536499, max_false: 0.8720851540565491, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8334227800369263, max_false: 0.8480653762817383, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9163187146186829, max_false: 0.9264496564865112, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9012701511383057, max_false: 0.8919917941093445, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.94105464220047, max_false: 0.9349469542503357, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379359483718872, max_false: 0.906843900680542, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9400823712348938, max_false: 0.8796834349632263, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.955743134021759, max_false: 0.9257442355155945, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9540825486183167, max_false: 0.8969743251800537, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8928449153900146, max_false: 0.8938425183296204, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9588320255279541, max_false: 0.9255814552307129, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.900021493434906, max_false: 0.8947269320487976, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9573647975921631, max_false: 0.913225531578064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9182342886924744, max_false: 0.9051389694213867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.90694260597229, max_false: 0.8817678689956665, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9423748254776001, max_false: 0.9552747011184692, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9504119157791138, max_false: 0.9229196906089783, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9370765686035156, max_false: 0.9238138198852539, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.897072434425354, max_false: 0.8713633418083191, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9275975227355957, max_false: 0.9175503253936768, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.953624427318573, max_false: 0.9059067368507385, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343142509460449, max_false: 0.9473829865455627, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9070870280265808, max_false: 0.8940681219100952, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9316619634628296, max_false: 0.9498101472854614, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379618167877197, max_false: 0.9150547981262207, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9365638494491577, max_false: 0.9463441371917725, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9414082765579224, max_false: 0.9313295483589172, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9362156987190247, max_false: 0.9476045370101929, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9367955923080444, max_false: 0.9070920944213867, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9258867502212524, max_false: 0.9176356792449951, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9171064496040344, max_false: 0.9060347676277161, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9129051566123962, max_false: 0.9240610003471375, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9561368227005005, max_false: 0.9472478032112122, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9176484942436218, max_false: 0.9229936003684998, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9256405830383301, max_false: 0.9075425863265991, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9319134950637817, max_false: 0.9277014136314392, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8958027958869934, max_false: 0.8865520358085632, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9327571988105774, max_false: 0.9122012257575989, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9370772838592529, max_false: 0.9077678918838501, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9014919996261597, max_false: 0.8930253386497498, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9379510283470154, max_false: 0.9451956152915955, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9566562175750732, max_false: 0.9474183917045593, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9224239587783813, max_false: 0.8871559500694275, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9277437925338745, max_false: 0.9377157688140869, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9250943064689636, max_false: 0.9077051877975464, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9125083684921265, max_false: 0.9126332998275757, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8910006880760193, max_false: 0.8823561668395996, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8962743878364563, max_false: 0.9068780541419983, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9301932454109192, max_false: 0.905747652053833, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.799074113368988, max_false: 0.8399757146835327, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9570764303207397, max_false: 0.8662654161453247, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9336614012718201, max_false: 0.9338158965110779, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9313471913337708, max_false: 0.9153810739517212, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9073041677474976, max_false: 0.9202057123184204, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9395347237586975, max_false: 0.9201322793960571, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9410789608955383, max_false: 0.9321867227554321, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9408254623413086, max_false: 0.9306395649909973, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9382894039154053, max_false: 0.9571799635887146, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8895191550254822, max_false: 0.8870443105697632, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9486920833587646, max_false: 0.9397189617156982, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9510616064071655, max_false: 0.9319990277290344, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9201031923294067, max_false: 0.9323729276657104, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9638104438781738, max_false: 0.9446683526039124, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8983458876609802, max_false: 0.9157981276512146, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9454681277275085, max_false: 0.9170738458633423, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.929833173751831, max_false: 0.9448809623718262, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.948470950126648, max_false: 0.9262177348136902, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9100431799888611, max_false: 0.8958508968353271, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9011950492858887, max_false: 0.9155911207199097, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9022104144096375, max_false: 0.8473557829856873, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9430444240570068, max_false: 0.9144991636276245, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9407429099082947, max_false: 0.943165123462677, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8992682695388794, max_false: 0.8797387480735779, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9242410063743591, max_false: 0.9424347281455994, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8930549025535583, max_false: 0.866913378238678, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496399164199829, max_false: 0.9413321614265442, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8734585046768188, max_false: 0.8578153252601624, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9293146133422852, max_false: 0.9255535006523132, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9111200571060181, max_false: 0.9084653854370117, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9308913946151733, max_false: 0.9236140251159668, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9572834372520447, max_false: 0.9354382753372192, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9485125541687012, max_false: 0.9478020071983337, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9477609992027283, max_false: 0.9139066934585571, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9267958998680115, max_false: 0.9159169793128967, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9462066888809204, max_false: 0.9180113077163696, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241865277290344, max_false: 0.9354378581047058, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947729766368866, max_false: 0.9282430410385132, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9353489279747009, max_false: 0.9001550674438477, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9032434821128845, max_false: 0.9071248173713684, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9134325385093689, max_false: 0.9351356029510498, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9117079377174377, max_false: 0.8753727078437805, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9109262228012085, max_false: 0.9188902974128723, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9095262885093689, max_false: 0.8709448575973511, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8884201049804688, max_false: 0.9219928979873657, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.934661328792572, max_false: 0.9110867381095886, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9309242367744446, max_false: 0.9423884749412537, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9030876159667969, max_false: 0.8858085870742798, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9160569906234741, max_false: 0.9298836588859558, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8950125575065613, max_false: 0.8699806332588196, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8654191493988037, max_false: 0.9008692502975464, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9033104181289673, max_false: 0.8968991041183472, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9445309042930603, max_false: 0.9473404884338379, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9389570951461792, max_false: 0.9200791716575623, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9214856028556824, max_false: 0.9150841236114502, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9223292469978333, max_false: 0.8974342942237854, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9076291918754578, max_false: 0.8993102312088013, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9431830048561096, max_false: 0.9221897125244141, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9437935948371887, max_false: 0.9536815881729126, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9223935604095459, max_false: 0.9107891917228699, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9361587166786194, max_false: 0.9292694926261902, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.944338321685791, max_false: 0.9339584708213806, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8908722400665283, max_false: 0.9127734899520874, correct: False
